,Gene Name,log2(Fold change),P-value
190,LSM8,1.887,0.114
191,PGAM5,3.714,0.0
192,OTUB1,0.907,0.012
193,SLC3A2,0.687,0.041
194,GPHN,0.918,0.154
195,NAP1L1,0.708,0.028
196,TUBA1C,0.562,0.069
197,GRSF1,0.47,0.083
198,ATP5H,1.826,0.001
199,GLOD4,3.346,0.115
200,RANBP1,0.845,0.036
201,CAD,-0.271,0.427
202,LIMA1,1.715,0.019
203,SLC25A3,0.448,0.618
204,AK2,0.847,0.188
205,MYL6,-0.915,0.029
206,HNRNPA1,-0.28,0.434
207,CAPRIN1,0.412,0.399
208,DPP3,2.746,0.0
209,API5,0.305,0.577
210,NRD1,0.937,0.013
211,RPL18,-0.013,0.98
212,PSMA6,0.061,0.797
213,APEX1,0.064,0.889
214,CTNNA1,-2.512,0.002
215,CELF1;CELF2,-0.16,0.655
216,IMPDH2,0.607,0.044
217,RBMX;RBMXL1,0.628,0.141
218,HNRNPD,1.068,0.02
219,TPD52,1.637,0.002
220,CTSC,0.162,0.696
221,CD44,0.071,0.866
222,HADHA,1.18,0.006
223,YARS2,1.895,0.042
224,RPL28,1.781,0.003
225,TMOD3,0.61,0.083
226,PSMA4,0.235,0.391
227,IDH3A,3.253,0.255
228,RPS27L;RPS27,0.999,0.035
229,ANP32A,0.31,0.347
230,DUT,1.33,0.03
231,AKR7A2,2.464,0.045
232,RNPS1,0.148,0.614
233,HN1L,0.228,0.454
234,H3BN98,-2.303,0.063
235,RPS17,0.341,0.358
236,HEXA,-0.095,0.715
237,FUS,0.28,0.349
238,HACD3,1.477,0.02
239,PDIA3,0.642,0.045
240,SRRT,1.33,0.005
241,NAGK,0.127,0.836
242,NSF,2.189,0.026
243,EIF5A;EIF5A2;EIF5AL1,0.393,0.133
244,PSMD13,0.557,0.284
245,SRSF2,-0.241,0.418
246,OLA1,0.605,0.064
247,RPL36AL;RPL36A;RPL36A-HNRNPH2,0.253,0.596
248,IARS,0.53,0.068
249,NT5C,2.129,0.001
250,NUP85,3.666,0.0
251,HN1,0.266,0.447
252,RPL38,-0.583,0.417
253,DDX5,-0.753,0.028
254,RPL19,0.063,0.916
255,SRSF1,0.513,0.13
256,SNRPB;SNRPN,-0.14,0.63
257,MRPS23,0.309,0.348
258,PNPO,2.395,0.034
259,MYL12B;MYL12A,-0.701,0.134
260,BUB3,-0.184,0.677
261,KATNAL2,0.051,0.886
262,RPS15,0.306,0.239
263,LONP1,1.837,0.006
264,HIST1H3A;H3F3A;HIST2H3A;H3F3B;HIST3H3;H3F3C,-2.693,0.001
265,PRKCSH,1.73,0.023
266,PARK7,-0.102,0.651
267,PDCD5,0.304,0.294
268,EIF3K,2.544,0.034
269,PSME3,0.795,0.19
270,DNAJC7,2.514,0.023
271,EXOSC5,1.493,0.057
272,RPS5,0.644,0.042
273,NAPA,1.542,0.002
274,DDX39A,0.434,0.129
275,ACOT7,1.068,0.147
276,AIP,0.956,0.027
277,PSMD11,0.986,0.049
278,PSMD12,1.691,0.159
279,PGRMC1,0.627,0.048
280,DFFA,0.385,0.132
281,CLIC1,-0.081,0.781
282,EIF3F,0.567,0.053
283,IPO5,2.937,0.031
284,SAP18,-0.769,0.069
285,DNM1L,0.285,0.52
286,PSMD14,0.363,0.499
287,PDXK,-0.525,0.295
288,PRMT5,1.862,0.009
289,SLC9A3R1,2.191,0.048
290,TCERG1,-0.131,0.793
291,PSMA7,0.777,0.021
292,HAT1,-0.509,0.328
293,UQCRQ,1.252,0.04
294,XPO1,0.742,0.024
295,PFAS,1.509,0.004
296,ARPC1B,0.571,0.089
297,ARPC3,-0.606,0.101
298,PGRMC2,0.755,0.33
299,PFDN6,2.729,0.009
300,SURF4,1.108,0.139
301,PMM2,3.652,0.0
302,PPM1G,0.516,0.104
303,EIF3D,2.716,0.021
304,MAGEB2,-0.635,0.621
305,YKT6,0.374,0.387
306,ARPC5,1.046,0.132
307,DHX15,1.381,0.004
308,PSMD3,1.089,0.009
309,ZW10,0.33,0.495
310,SART1,-0.56,0.351
311,HNRNPR,0.842,0.02
312,TPD52L2,1.511,0.011
313,PPIH,-0.268,0.304
314,DNPH1,2.908,0.063
315,ASNA1,0.702,0.287
316,ACTN4,0.426,0.186
317,SGTA,0.886,0.061
318,NARS,0.058,0.816
319,NUDT21,-0.053,0.855
320,RRP9,1.301,0.004
321,CALU,1.617,0.062
322,AHCYL1;AHCYL2,1.572,0.057
323,TIMM8A,0.322,0.357
324,SYNCRIP,0.771,0.087
325,PLIN3,0.696,0.031
326,UGDH,1.4,0.025
327,USO1,2.656,0.048
328,PQBP1,-0.136,0.55
329,EDF1,-0.182,0.43
330,CUTA,0.949,0.055
331,WDR1,0.968,0.012
332,CPNE3,1.747,0.021
333,PDCD6,3.747,0.0
334,ATP6V1G1;ATP6V1G2;ATP6V1G2-DDX39B,-0.344,0.405
335,H2AFY,0.72,0.059
336,FLNB,1.752,0.002
337,SEC22B,0.255,0.306
338,VPS26A,0.632,0.061
339,SRSF10,0.245,0.8
340,BANF1,-0.152,0.749
341,SF3B1,1.495,0.007
342,CSDE1,-0.188,0.675
343,NPM3,0.677,0.052
344,SNRNP200,0.754,0.021
345,EIF3J,-0.354,0.757
346,IDH1,0.673,0.096
347,BCAS2,0.514,0.076
348,DNAJC8,1.826,0.02
349,ATP5L,1.772,0.006
350,GLRX3,1.84,0.003
351,RSL1D1,0.51,0.165
352,CIAO1,1.158,0.095
353,SRP72,0.871,0.115
354,MTA2,0.274,0.424
355,TOMM70A,1.755,0.002
356,GLS,0.982,0.059
357,SMC2,-0.055,0.959
358,LYPLA2,2.8,0.001
359,IPO7,0.791,0.17
360,AHSA1,-0.088,0.702
361,AP2A1,1.575,0.002
362,BAG2,1.508,0.006
363,BPNT1,2.528,0.097
364,ACTL6A,0.622,0.132
365,LDHA,-0.358,0.175
366,GLUD1;GLUD2,0.771,0.037
367,CYB5R3,1.62,0.021
368,GSR,0.845,0.169
369,MT-CO2,2.823,0.009
370,SOD1,0.074,0.771
371,PNP,-0.639,0.156
372,HPRT1,0.961,0.217
373,GOT2,-0.078,0.863
374,PGK1,0.288,0.235
375,LMNA,0.135,0.671
376,TFRC,0.859,0.11
377,CAT,0.531,0.194
378,ALDOA,-0.145,0.569
379,ANXA1,1.921,0.001
380,SOD2,0.263,0.425
381,OAT,0.478,0.223
382,TK1,-1.348,0.027
383,TUBB4A,0.493,0.207
384,GAPDH,-0.935,0.024
385,HSPB1,-1.148,0.024
386,TYMS,-0.718,0.043
387,RPN1,0.348,0.375
388,RPN2,0.379,0.387
389,HIST1H2AC;HIST3H2A;HIST1H2AB,-0.297,0.254
390,ATP1A1,0.846,0.083
391,ATP1B1,1.65,0.008
392,SLC25A5,-0.2,0.445
393,EIF2S1,-0.707,0.048
394,RPLP1,0.007,0.979
395,RPLP2,0.319,0.703
396,RPLP0;RPLP0P6,0.671,0.031
397,SSB,-0.227,0.545
398,ITGB1,-0.276,0.686
399,KRT18,0.125,0.599
400,UROD,-0.338,0.389
401,CDK1;CDC2,0.193,0.589
402,ATP5B,0.661,0.043
403,ENO1,0.404,0.762
404,PYGL,0.485,0.309
405,GPI,0.218,0.353
406,NPM1,-0.142,0.624
407,DBI,0.709,0.52
408,LDHB,-0.489,0.095
409,P4HB,0.553,0.167
410,ANXA2;ANXA2P2,-0.31,0.389
411,CAPN1,0.716,0.048
412,TUBB,-1.282,0.014
413,PSAP,-0.365,0.279
414,PFN1,-0.327,0.188
415,APRT,1.747,0.013
416,EPRS,0.616,0.052
417,CTSB,-1.491,0.02
418,HSP90AA1,0.095,0.705
419,FH,1.763,0.001
420,ANXA6,0.724,0.038
421,RHOC;RHOA,0.746,0.022
422,HSP90AB1,-0.934,0.099
423,ASNS,-0.168,0.626
424,PDHA1,1.315,0.018
425,CYC1,0.766,0.144
426,MYL3;MYL1,-1.469,0.006
427,SNRNP70,0.66,0.229
428,VIM,-1.14,0.233
429,ANXA5,0.188,0.524
430,ENO2,0.212,0.412
431,GSTP1,0.394,0.187
432,LGALS1,-1.047,0.009
433,QDPR,1.661,0.001
434,HMGB1,-0.379,0.274
435,CLTA,-1.073,0.098
436,ANXA4,1.057,0.29
437,DLD,0.978,0.089
438,SNRPA1,2.609,0.004
439,PARP1,0.983,0.013
440,LTA4H,1.563,0.019
441,H2AFV;H2AFZ,-1.165,0.018
442,U2AF1;U2AF1L4,-0.3,0.463
443,CALM2;CALM3;CALM1,0.304,0.223
444,TUBA3E,-0.33,0.591
445,GAA,-0.253,0.375
446,HIST1H1E;HIST1H1D,-1.021,0.011
447,TXN,-0.787,0.031
448,ESD,1.074,0.043
449,HSPD1,0.494,0.076
450,HSPA5,0.928,0.012
451,HSPA8,-0.818,0.031
452,UMPS,2.331,0.001
453,PDHB,1.706,0.002
454,RALB;RALA,-0.593,0.432
455,LAMP1,0.286,0.276
456,TOP2A,0.417,0.495
457,G6PD,0.38,0.318
458,PCNA,-0.413,0.159
459,HARS,2.558,0.097
460,SLC25A6,0.898,0.055
461,TPR,-2.347,0.0
462,CKB,1.69,0.009
463,CKMT1A;CKMT1B,-0.031,0.942
464,ACTN1,1.318,0.008
465,XRCC6,1.225,0.03
466,XRCC5,1.365,0.003
467,COX4I1,-0.379,0.298
468,RNH1,0.598,0.061
469,EEF2,-0.172,0.585
470,PDIA4,1.066,0.014
471,ETFA,2.131,0.012
472,PRKAR2A,1.288,0.007
473,MTHFD2,1.284,0.037
474,MIF,0.108,0.76
475,FDPS,-0.914,0.417
476,AKR1A1,-0.238,0.625
477,PKM,1.521,0.345
478,HSP90B1,0.043,0.856
479,COX6B1,-1.326,0.014
480,HNRNPL,0.485,0.125
481,DARS,0.41,0.36
482,UQCRB,0.714,0.056
483,AKR1B1,0.749,0.124
484,GSPT1;GSPT2,0.263,0.427
485,EZR,0.227,0.487
486,RPS2,-0.131,0.662
487,CBR1,1.502,0.124
488,HIST1H1C,-1.348,0.006
489,ATP2A2,4.278,0.158
490,STMN1,0.58,0.284
491,YBX3,0.278,0.372
492,HSPA6;HSPA7,-1.049,0.262
493,HMGA1,-0.837,0.031
494,GOT1,0.278,0.272
495,ITGA2,0.629,0.223
496,CAPN2,0.527,0.173
497,PFKL,0.98,0.19
498,TCP1,1.16,0.005
499,PTPN1,0.937,0.311
500,RPL35A,0.467,0.214
501,RPL7,-0.207,0.419
502,VCL,1.924,0.008
503,SON,1.104,0.006
504,PGAM1,-0.321,0.284
505,NCL,0.426,0.133
506,HK1,1.602,0.007
507,EIF2AK2,-0.081,0.836
508,SRM,0.418,0.239
509,CSNK2A2,1.584,0.002
510,EIF2S2,1.103,0.039
511,ANXA7,0.839,0.175
512,BTF3,-1.904,0.004
513,PSMB1,0.474,0.091
514,M6PR,0.422,0.37
515,COX5A,0.26,0.591
516,LMNB1,0.508,0.205
517,ATP6V1B2,0.797,0.034
518,ATP6V1C1,-0.975,0.059
519,ACO1,1.412,0.006
520,VDAC1,0.783,0.02
521,TGM2,0.442,0.135
522,PCMT1,-0.463,0.343
523,FBL,0.787,0.118
524,GART,0.227,0.352
525,PAICS,0.74,0.046
526,SCP2,2.022,0.004
527,UBA1,0.273,0.259
528,FDXR,1.891,0.009
529,HNRNPA2B1,0.251,0.408
530,UQCRC2,2.289,0.008
531,SFPQ,1.341,0.007
532,PPIB,-0.25,0.407
533,WARS,1.18,0.005
534,RPS3,0.439,0.266
535,AHCY,1.016,0.008
536,CFL1,-0.711,0.028
537,DTYMK,1.938,0.013
538,EEF1B2,0.649,0.062
539,ACP1,0.535,0.065
540,MCM3,0.574,0.131
541,RPS12,-0.382,0.188
542,ATP5A1,0.699,0.03
543,PSMA1,0.167,0.461
544,PSMA3,0.557,0.065
545,ITGA3,-0.515,0.436
546,MSN,0.259,0.317
547,DDX6,0.518,0.195
548,RPL13,0.443,0.11
549,HMGB2,2.735,0.001
550,PTBP1,0.424,0.395
551,TARS,0.901,0.019
552,VARS,1.129,0.005
553,EEF1G,0.825,0.016
554,YWHAQ,0.239,0.323
555,MAPK3,3.271,0.007
556,RPL10,-0.029,0.914
557,CALR,0.431,0.131
558,CANX,0.781,0.023
559,PSMA5,-0.011,0.969
560,PSMB4,1.412,0.018
561,PSMB6,0.922,0.012
562,PSMB5,2.089,0.009
563,MAPK1,-0.531,0.071
564,LAP3,0.19,0.577
565,IMPA1,0.581,0.083
566,TKT,1.298,0.005
567,ERP29,0.522,0.238
568,PRDX6,-0.092,0.75
569,BLVRB,-1.162,0.008
570,PRDX5,-0.003,0.993
571,PRDX3,-0.398,0.147
572,RPL12,0.529,0.202
573,ECHS1,0.792,0.149
574,CMPK1,1.722,0.007
575,PEBP1,0.319,0.224
576,PDIA3,0.266,0.262
577,PPP2R1A,0.745,0.023
578,PPIF,1.036,0.017
579,NMT1,0.856,0.034
580,ALDH1B1,1.112,0.012
581,SDHA,0.661,0.315
582,MAT2A,1.449,0.007
583,DNAJA1,-1.442,0.076
584,UQCRC1,1.337,0.01
585,ATIC,1.234,0.014
586,HNRNPH3,0.256,0.586
587,YWHAB,-0.572,0.053
588,SFN,-0.19,0.502
589,STIP1,0.623,0.049
590,S100A11,0.652,0.038
591,PRDX2,0.005,0.991
592,CDA,0.14,0.634
593,PYCR1,-1.173,0.137
594,RPL9,-0.052,0.864
595,KIF5B,1.604,0.003
596,MCM5,0.129,0.688
597,MCM7,-0.362,0.217
598,SHMT2,0.988,0.027
599,HSPA4,0.595,0.043
600,PHB,0.288,0.436
601,RFC2,1.456,0.002
602,RPL22,0.804,0.067
603,SPR,0.749,0.372
604,MYH9,0.549,0.108
605,COPB2,2.385,0.073
606,PSMC2,0.801,0.025
607,ATP5C1,0.958,0.089
608,CPOX,0.795,0.113
609,RPL4,-0.403,0.122
610,DLST,0.067,0.889
611,SRP14,-1.138,0.006
612,TAGLN2,-0.114,0.636
613,TALDO1,0.809,0.089
614,ETFB,1.506,0.005
615,ATP6V1A,0.995,0.008
616,HSPA9,-0.319,0.2
617,EIF4A3,0.708,0.045
618,RPS19,0.456,0.099
619,RPL3,0.398,0.137
620,FEN1,1.084,0.008
621,CCT6A,0.333,0.184
622,NNMT,0.434,0.114
623,RPL13A;RPL13a,0.566,0.356
624,MDH1,-0.114,0.678
625,MDH2,1.315,0.011
626,RFC5,1.374,0.015
627,EIF2S3;EIF2S3L,1.357,0.003
628,GARS,1.11,0.037
629,ECI1;DCI,3.315,0.012
630,TMPO,1.606,0.018
631,SKIV2L2,3.12,0.003
632,LRPPRC,1.2,0.022
633,RPL35,-0.417,0.158
634,MSH2,0.429,0.457
635,MAGEA4,-0.583,0.328
636,NAMPT,0.394,0.267
637,PSMC4,0.218,0.671
638,USP5,0.822,0.052
639,RANGAP1,0.467,0.137
640,RECQL,1.681,0.004
641,NOP2,0.643,0.044
642,RPL27A,-0.107,0.836
643,RPL5,0.484,0.086
644,RPL21,-0.558,0.064
645,RPS9,0.183,0.632
646,RPS10;RPS10-NUDT3,0.325,0.193
647,GNPDA1,0.334,0.322
648,IQGAP1,0.771,0.021
649,CAPZB,-0.007,0.978
650,EIF1AX,1.249,0.367
651,QARS,0.556,0.061
652,ATP5O,1.447,0.003
653,ARCN1,1.798,0.002
654,LSS,0.343,0.543
655,PSMD8,1.129,0.052
656,CCT5,0.372,0.149
657,ALDH9A1,1.759,0.065
658,RPL34,0.767,0.031
659,NASP,-0.478,0.135
660,FASN,1.759,0.19
661,CCT3,-0.094,0.73
662,TUFM,0.151,0.51
663,SRP9;DKFZp564M2223,0.194,0.396
664,AARS,0.055,0.831
665,SARS,0.128,0.765
666,PSMB2,0.322,0.393
667,MCM2,0.554,0.126
668,ACADVL,0.453,0.417
669,TMED10,1.043,0.028
670,HINT1,0.243,0.363
671,RANBP2,1.422,0.163
672,SEPHS1,1.223,0.011
673,GMPS,0.843,0.241
674,GDI2,0.228,0.335
675,SERPINH1,0.157,0.677
676,PDLIM4,-0.374,0.312
677,ST13;ST13P5;ST13P4,0.123,0.783
678,VASP,0.317,0.447
679,NUDT2,1.163,0.154
680,CCT8,0.391,0.14
681,CCT4,0.4,0.195
682,ANXA11,-0.152,0.561
683,RAB5C,-0.748,0.068
684,RAB7A,-1.333,0.021
685,DUSP3,0.933,0.096
686,SSR4,-0.801,0.02
687,BCAP31,1.454,0.029
688,PSMD7,0.312,0.668
689,HDGF,0.972,0.072
690,HNRNPA3,1.152,0.007
691,PGD,1.053,0.008
692,HNRNPM,0.247,0.372
693,KPNA2,-1.178,0.024
694,ARHGDIA,0.824,0.06
695,HNRNPF,-0.276,0.25
696,SMS,0.448,0.204
697,THOP1,2.071,0.001
698,CAPZA1,0.808,0.037
699,BLVRA,0.713,0.045
700,ACLY,1.343,0.007
701,COPA,1.209,0.004
702,SUB1,-0.498,0.143
703,RARS,0.57,0.05
704,YARS,0.748,0.081
705,BCAT1,0.264,0.536
706,ALDH18A1,0.701,0.037
707,EIF5,0.77,0.037
708,PSMD4,-0.938,0.011
709,CSE1L,1.971,0.001
710,VCP,0.41,0.186
711,HADHB,0.931,0.014
712,ADK,0.971,0.02
713,SEC13,0.398,0.157
714,HNRNPH2,0.05,0.827
715,EIF3B,0.128,0.591
716,MARS,0.237,0.742
717,EIF6,-1.068,0.01
718,MTPN,0.071,0.808
719,HIST1H2BD;HIST1H2BH;HIST1H2BN;HIST2H2BF,-0.841,0.018
720,ARPC4;ARPC4-TTLL3,1.51,0.042
721,SEC61G,-0.86,0.054
722,TPI1,-0.956,0.016
723,EIF3E,0.794,0.023
724,ACTB,-0.025,0.914
725,EIF4A1,2.025,0.24
726,RPS20,0.041,0.908
