,Bait,Prey Gene,Saint Score,log2FC
147,NLE1,FAM21A,0.0,-5.059
148,NLE1,PHACTR4,0.0,-2.474
149,NLE1,TRIO,0.0,-5.644
150,NLE1,NUP107,0.01,-0.578
151,NLE1,SMNDC1,0.0,-1.0
152,NLE1,KIAA0020,1.0,5.781
153,NLE1,YKT6,0.0,-3.184
154,NLE1,RPS4X,0.84,3.17
155,NLE1,ATXN2L,0.0,-2.059
156,NLE1,TJP1,0.0,-2.059
157,NLE1,BUD13,0.96,5.129
158,NLE1,TCP1,0.0,0.748
159,NLE1,ISY1,0.0,-0.415
160,NLE1,SH3PXD2B,0.0,-2.059
161,NLE1,FAM32A,0.49,4.322
162,NLE1,SUGP1,0.0,0.299
163,NLE1,XAB2,0.0,0.214
164,NLE1,SVIL,0.0,-3.322
165,NLE1,EDC4,0.0,-4.322
166,NLE1,KTN1,0.0,-3.644
167,NLE1,TCEB3,0.0,0.189
168,NLE1,PRDX6,0.0,0.176
169,NLE1,TCEB1,0.0,-1.737
170,NLE1,PRDX3,0.0,-2.322
171,NLE1,PRDX1,0.0,-0.644
172,NLE1,SMARCA4,0.48,1.585
173,NLE1,SMARCA5,0.0,0.642
174,NLE1,CCDC168,0.06,0.585
175,NLE1,CSTB,0.0,-1.0
176,NLE1,CCT6A,0.0,0.74
177,NLE1,CDC5L,0.0,-1.322
178,NLE1,VCL,0.0,-4.322
179,NLE1,CROCC,0.02,0.411
180,NLE1,NLE1,1.0,10.675
181,NLE1,PAPOLG,0.99,5.129
182,NLE1,PAPOLA,0.0,-0.578
183,NLE1,PAPOLB,0.02,0.585
184,NLE1,NSUN2,0.0,-2.0
185,NLE1,TARS,0.0,-2.837
186,NLE1,TUFM,0.0,-0.578
187,NLE1,ZFR,0.0,0.057
188,NLE1,TXNDC9,0.0,-1.218
189,NLE1,CALM2,0.0,-2.0
190,NLE1,CACNA1A,0.03,0.411
191,NLE1,DNMT1,0.27,1.118
192,NLE1,DLGAP5,0.0,-2.837
193,NLE1,EIF4ENIF1,0.0,-4.322
194,NLE1,MBNL1,0.92,4.322
195,NLE1,TRIM28,0.0,-1.515
196,NLE1,TRIM24,0.0,3.322
197,NLE1,TRIM25,0.0,-1.943
198,NLE1,PRMT1,0.49,3.907
199,NLE1,CLCN7,0.0,-3.644
200,NLE1,SLC25A6,0.0,-1.0
201,NLE1,SLC25A5,0.0,-0.811
202,NLE1,PRMT5,0.0,-1.0
203,NLE1,BRD4,0.0,-0.358
204,NLE1,COIL,0.0,0.227
205,NLE1,NELFCD,0.0,-0.377
206,NLE1,PTPN12,0.0,-2.644
207,NLE1,KIF5B,0.0,-4.059
208,NLE1,PQBP1,0.12,0.74
209,NLE1,ARCN1,0.0,-2.556
210,NLE1,UTRN,0.0,-5.644
211,NLE1,SLBP,0.0,1.0
212,NLE1,GAPDH,0.94,2.322
213,NLE1,ZFP91,0.05,0.585
214,NLE1,ARHGAP1,0.0,-3.837
215,NLE1,PPM1G,0.0,-1.152
216,NLE1,SRSF6,0.68,2.585
217,NLE1,ABCF1,0.0,-3.837
218,NLE1,APOBEC3B,0.0,-0.578
219,NLE1,AATF,0.0,0.0
220,NLE1,CDK11B,0.99,2.0
221,NLE1,RPUSD2,0.0,-2.0
222,NLE1,KPRP,0.15,0.585
223,NLE1,PTPN2,0.0,-0.837
224,NLE1,PTPN1,0.0,-2.396
225,NLE1,ASUN,0.35,1.585
226,NLE1,SLC3A2,0.0,-3.474
227,NLE1,SRCAP,0.49,4.322
228,NLE1,MYO1B,0.0,-4.059
229,NLE1,CTDP1,0.0,-0.69
230,NLE1,RPS7,0.5,4.644
231,NLE1,RPS6,0.0,0.411
232,NLE1,RPS3,1.0,3.807
233,NLE1,RPS2,0.0,0.0
234,NLE1,VDAC3,0.15,1.0
235,NLE1,VDAC2,0.0,-0.396
236,NLE1,VDAC1,0.68,3.17
237,NLE1,RPS9,0.79,2.807
238,NLE1,RPS8,0.07,0.807
239,NLE1,CTPS1,0.0,-2.322
240,NLE1,DSG2,0.0,-3.474
241,NLE1,ZNF106,0.46,3.322
242,NLE1,SH3BP5L,0.0,-4.644
243,NLE1,ERCC5,0.0,-3.184
244,NLE1,SF3B3,1.0,2.077
245,NLE1,CS,0.0,2.322
246,NLE1,LGALS1,0.19,1.322
247,NLE1,FSCN1,0.5,4.644
248,NLE1,NUP50,0.0,0.138
249,NLE1,HN1,0.0,-1.089
250,NLE1,WAPAL,0.0,-0.667
251,NLE1,KIAA1217,0.0,-1.184
252,NLE1,TMPO,0.0,0.433
253,NLE1,MCM3AP,0.03,1.0
254,NLE1,VARS,0.0,-3.837
255,NLE1,SMCR8,0.0,-4.644
256,NLE1,KIAA1524,0.0,-4.059
257,NLE1,AP3B1,0.0,-3.837
258,NLE1,RPL28,0.02,0.322
259,NLE1,NAP1L1,0.0,-2.252
260,NLE1,RPL27,0.0,0.163
261,NLE1,LRWD1,0.99,5.322
262,NLE1,NAP1L4,0.0,-3.644
263,NLE1,RPL23,0.63,2.322
264,NLE1,RPL22,0.46,3.907
265,NLE1,ATG3,0.0,-3.644
266,NLE1,SPAG7,0.0,-0.515
267,NLE1,EYA3,0.0,-1.0
268,NLE1,PEAK1,0.0,-3.322
269,NLE1,ILKAP,0.0,-1.089
270,NLE1,KIAA1143,0.0,-2.184
271,NLE1,TAGLN,0.0,-0.761
272,NLE1,PPP1CB,0.0,-2.0
273,NLE1,ELAC2,0.01,0.0
274,NLE1,PPP1CA,0.0,-0.322
275,NLE1,SRRM1,0.8,2.322
276,NLE1,SRRM2,1.0,7.907
277,NLE1,CCDC174,0.0,-1.0
278,NLE1,KANK2,0.0,-4.059
279,NLE1,WBP4,0.01,-0.415
280,NLE1,PUF60,0.0,-0.434
281,NLE1,PLIN3,0.0,-2.184
282,NLE1,ZYX,0.0,-2.837
283,NLE1,PALM2;PALM2-AKAP2,0.0,-3.059
284,NLE1,CIAPIN1,0.0,-2.396
285,NLE1,RSBN1,0.0,0.263
286,NLE1,HSP90AB1,0.0,-0.515
287,NLE1,ARHGAP21,0.0,-4.322
288,NLE1,ARHGAP29,0.0,-2.837
289,NLE1,NKRF,0.0,0.189
290,NLE1,MYSM1,0.0,3.322
291,NLE1,ATG2B,0.0,-4.059
292,NLE1,PA2G4,0.0,-0.943
293,NLE1,UBR5,0.35,1.17
294,NLE1,TWF1,0.0,-2.322
295,NLE1,WDR55,0.0,-1.599
296,NLE1,TWF2,0.0,-1.943
297,NLE1,EIF4G2,0.0,-1.515
298,NLE1,EEF1D,0.0,-1.322
299,NLE1,AKAP12,0.0,-3.059
300,NLE1,VPS72,0.42,1.807
301,NLE1,RPL8,0.0,0.0
302,NLE1,RPL9,1.0,5.644
303,NLE1,TRIM33,0.0,-0.713
304,NLE1,PCM1,0.0,-2.943
305,NLE1,RPL4,0.0,0.546
306,NLE1,RPL5,1.0,6.409
307,NLE1,RPL3,1.0,4.0
308,NLE1,FEN1,0.0,-0.737
309,NLE1,CHD1,0.49,4.322
310,NLE1,CHD3,0.9,3.0
311,NLE1,CHD4,0.0,-0.862
312,NLE1,CHD7,0.0,-1.218
313,NLE1,CHD6,0.34,2.0
314,NLE1,CHD8,0.0,0.556
315,NLE1,CAP1,0.0,-3.322
316,NLE1,FLYWCH2,0.01,0.0
317,NLE1,A0A222,0.0,-3.837
318,NLE1,ARPC2,0.0,-3.184
319,NLE1,PSME3,0.0,-1.12
320,NLE1,POLR2A,0.0,-0.811
321,NLE1,DYNC1LI1,0.0,-2.556
322,NLE1,DYNC1LI2,0.0,-3.322
323,NLE1,THOP1,0.0,-1.0
324,NLE1,PBK,0.0,-2.943
325,NLE1,TLK2,0.03,0.411
326,NLE1,ASCC3,0.0,-3.322
327,NLE1,CCNK,0.0,-1.059
328,NLE1,VBP1,0.03,0.411
329,NLE1,FAM120A,0.0,-2.737
330,NLE1,PAXBP1,0.46,3.907
331,NLE1,NCOR2,1.0,2.422
332,NLE1,NCOR1,0.0,0.239
333,NLE1,OGFOD1,0.0,0.0
334,NLE1,REPS1,0.0,-5.059
335,NLE1,RPL6,0.0,0.526
336,NLE1,NBN,0.0,-0.434
337,NLE1,RPL7,0.19,1.322
338,NLE1,NFKB2,0.0,-5.059
339,NLE1,AKAP17A,0.18,1.0
340,NLE1,NSA2,1.0,6.492
341,NLE1,GGA3,0.0,-2.184
342,NLE1,USO1,0.0,-5.059
343,NLE1,HIST1H1A,0.5,5.129
344,NLE1,FHOD1,0.0,-3.059
345,NLE1,TACC1,0.0,-3.474
346,NLE1,KIF20B,0.95,4.644
347,NLE1,HIVEP1,0.0,-1.0
348,NLE1,MKI67,1.0,2.032
349,NLE1,ZNF318,0.0,0.345
350,NLE1,JUNB,0.0,-1.358
351,NLE1,ANKHD1,0.0,-4.644
352,NLE1,MYO6,0.0,-5.059
353,NLE1,MLH1,0.0,0.0
354,NLE1,NACC1,0.0,0.163
355,NLE1,SIN3B,0.0,-2.184
356,NLE1,SH3KBP1,0.0,-2.474
357,NLE1,SIN3A,0.0,-0.644
358,NLE1,PGRMC2,0.0,-0.786
359,NLE1,SCAF11,0.0,-0.168
360,NLE1,NUP160,0.0,-1.786
361,NLE1,RTF1,0.0,-0.761
362,NLE1,LRRC59,0.0,-2.556
363,NLE1,DIS3,0.01,0.485
364,NLE1,TAB2,0.0,-0.578
365,NLE1,RPL30,0.18,1.0
366,NLE1,PCCA,0.0,-0.322
367,NLE1,DKC1,1.0,6.322
368,NLE1,SLC4A1AP,0.0,-0.811
369,NLE1,SMARCC1,0.0,-0.737
370,NLE1,ZCCHC17,0.46,3.907
371,NLE1,BUB1B,0.0,-4.644
372,NLE1,CTTNBP2,0.0,0.0
373,NLE1,PSPC1,0.0,-0.556
374,NLE1,PPWD1,0.05,0.678
375,NLE1,DBN1,0.0,-2.474
376,NLE1,DLG5,0.0,-3.474
377,NLE1,CDC73,0.0,-0.152
378,NLE1,METTL14,0.0,-1.786
379,NLE1,ZMYM2,0.0,0.585
380,NLE1,ZMYM3,0.46,3.907
381,NLE1,ZMYM1,0.15,1.0
382,NLE1,ZMYM4,0.83,2.585
383,NLE1,SRFBP1,0.0,0.39
384,NLE1,MTUS1,0.0,-3.644
385,NLE1,KIAA1598,0.0,-4.644
386,NLE1,GTF2F1,0.0,0.322
387,NLE1,AKAP1,0.0,-5.644
388,NLE1,AKAP2,0.0,-2.737
389,NLE1,GTF2F2,0.0,-0.059
390,NLE1,EIF2A,0.0,-1.396
391,NLE1,ARHGAP17,0.0,-1.599
392,NLE1,CWC15,0.01,0.807
393,NLE1,CAPZB,0.0,-4.644
394,NLE1,RRP1B,1.0,2.459
395,NLE1,HSP90B1,0.0,0.0
396,NLE1,TANGO6,0.0,-3.474
397,NLE1,POLR1E,0.05,0.585
398,NLE1,TTC1,0.0,-4.322
399,NLE1,STIP1,0.0,-1.089
400,NLE1,WDR43,0.0,0.888
401,NLE1,GTF2B,0.46,3.322
402,NLE1,AHSA1,0.0,-1.474
403,NLE1,SENP6,1.0,6.644
404,NLE1,PHRF1,0.5,4.322
405,NLE1,SENP1,0.96,4.907
406,NLE1,CUX1,0.0,-2.0
407,NLE1,ASAP1,0.0,-3.184
408,NLE1,PDAP1,0.0,-1.0
409,NLE1,DNAJC8,0.0,-1.396
410,NLE1,DNAJC9,0.0,-0.578
411,NLE1,CAMSAP2,0.0,-5.059
412,NLE1,CAMSAP1,0.0,-3.322
413,NLE1,MAGOHB,0.0,0.0
414,NLE1,RRP12,0.0,-0.044
415,NLE1,RRP15,1.0,6.229
416,NLE1,PRKDC,0.0,-3.644
417,NLE1,ZNF830,0.0,-1.0
418,NLE1,NCOA2,0.0,-0.168
419,NLE1,ACO2,0.0,3.322
420,NLE1,NCOA6,0.0,-0.218
421,NLE1,NCOA7,0.0,-3.644
422,NLE1,PHAX,0.0,0.239
423,NLE1,LIMD1,0.0,-3.644
424,NLE1,DDB1,0.03,0.0
