,Gene Name,log2(Fold change),P-value
184,SEPT2,-0.326,0.048
185,RAN,0.01,0.933
186,SEPT10,0.084,0.698
187,UQCRB,0.379,0.089
188,DDX27,0.401,0.048
189,RANBP3,-0.635,0.012
190,ACADM,-0.093,0.54
191,SUMO1,-0.102,0.507
192,PTMA,-0.069,0.621
193,HIBCH,-1.093,0.136
194,IMMT,0.401,0.078
195,SMARCD2,-0.04,0.909
196,PFN2,-0.465,0.015
197,SRI,-0.167,0.493
198,EEF1E1;EEF1E1-BLOC1S5,-0.188,0.496
199,NCAPH,-0.187,0.48
200,RPL37A,0.241,0.154
201,PDCD10,0.341,0.165
202,PFN2,-0.07,0.79
203,SSR3,0.988,0.007
204,SNAP29,-0.36,0.051
205,HIGD1A,-0.225,0.262
206,APEH,-0.338,0.097
207,VPS8,-1.014,0.065
208,RPL24,0.288,0.079
209,ARF4,0.651,0.016
210,L2HGDH,-0.056,0.829
211,RPL22L1,0.594,0.146
212,RFC4,-0.519,0.009
213,RPL32,0.216,0.164
214,HLA-B,-0.77,0.007
215,HNRNPAB,0.053,0.747
216,GNPDA1,-0.218,0.232
217,DBN1,-0.463,0.03
218,G3BP2,-0.195,0.242
219,COPS4,0.07,0.759
220,LMAN2,0.014,0.921
221,EIF4E,0.156,0.302
222,DCK,-0.472,0.018
223,ROCK2,0.189,0.261
224,SEPT11,-0.357,0.036
225,SEC31A,0.035,0.892
226,THOC3,-0.325,0.051
227,MRPS27,0.141,0.366
228,CIRBP,0.087,0.833
229,CHRAC1,-0.614,0.006
230,RMDN1,-0.037,0.787
231,TBCA,0.438,0.399
232,TCEB1,0.02,0.896
233,ZNF706,-0.349,0.119
234,RPL30,0.285,0.069
235,DNPEP,0.495,0.194
236,SLC39A14,-0.167,0.262
237,SKP1,0.031,0.896
238,RBM22,0.081,0.741
239,ITGA2,-0.632,0.26
240,NPC2,-0.773,0.004
241,AP1M1,0.507,0.072
242,PRPSAP2,0.044,0.916
243,RPL14,0.224,0.219
244,SEPT7,-0.08,0.558
245,MRPS25,0.309,0.141
246,NAA50,-0.532,0.122
247,IDH3G,-0.656,0.051
248,EZR,0.18,0.284
249,U2SURP,-0.225,0.644
250,GPX8,-0.312,0.1
251,EIF4G1,-0.263,0.147
252,MAP4,0.108,0.603
253,EIF4B,-1.126,0.035
254,CALD1,0.106,0.827
255,DCTN1,0.063,0.661
256,NACA,-0.071,0.682
257,HK2,0.41,0.321
258,RBBP7,-0.329,0.13
259,CCNB1,-1.842,0.174
260,OGDH,0.03,0.84
261,SMC4,0.216,0.171
262,MYO1B,-0.622,0.005
263,FUBP1,-0.149,0.316
264,DLAT,0.06,0.707
265,NUP155,0.107,0.609
266,GSTK1,-0.353,0.075
267,TSN,-0.177,0.35
268,COPS8,-0.375,0.061
269,FAM162A,-0.637,0.007
270,CLNS1A,-0.213,0.189
271,EEF1D,0.305,0.067
272,PRMT1,0.318,0.072
273,NDUFS8,0.393,0.035
