,Gene Name,log2(Fold change),P-value
0,CDK1;CDC2,-0.164,0.428
1,HDLBP,-0.358,0.139
2,PSMA2,-0.166,0.316
3,BAG6;BAT3,0.575,0.064
4,TAF15,-0.067,0.712
5,TXNRD1,-0.01,0.964
6,HMOX2,-0.185,0.541
7,EIF2B4,-0.603,0.329
8,NDUFS7,0.581,0.015
9,KHSRP,0.204,0.217
10,PABPC1;PABPC3,-0.142,0.46
11,PYCR2,-0.216,0.234
12,HNRNPDL,-0.286,0.17
13,MRPL45,1.434,0.149
14,CTNNBL1,-0.2,0.277
15,SPCS2,0.248,0.159
16,HNRNPDL,-0.335,0.084
17,EIF5B,0.225,0.418
18,MTHFD1L,-0.003,0.988
19,POLR2E,-0.416,0.168
20,TRAPPC3,-0.334,0.08
21,TPM3,-0.069,0.657
22,SRP19,-0.692,0.18
23,RPL17;RPL17-C18orf32,0.195,0.432
24,ITGB6,0.022,0.897
25,VTA1,-0.047,0.773
26,AP2M1,0.122,0.613
27,UBE2D3;UBE2D2;UBE2D4;UBE2D1,-0.343,0.083
28,UGP2,-0.266,0.299
29,PTGES3,-0.189,0.269
30,EIF3H,-0.205,0.3
31,IDH3B,-0.902,0.01
32,NDUFB6,0.398,0.086
33,SBDS,0.039,0.882
34,OGFR,-0.262,0.151
35,HYOU1,-0.119,0.523
36,SLC4A1AP,-0.448,0.057
37,SNX12,-0.687,0.02
38,ACOT1;ACOT2,-0.333,0.281
39,HNRNPM,0.12,0.48
40,NOMO2;NOMO1;NOMO3,-0.174,0.585
41,08-Sep,0.402,0.319
42,STAU1,0.239,0.374
43,PSME2,-0.118,0.577
44,BSG,-0.031,0.873
45,SRSF3,0.008,0.963
46,DDX1,-0.07,0.692
47,GPS1,-0.252,0.445
48,C21orf33,-0.473,0.092
49,WDR18,0.236,0.788
50,TTN,-0.399,0.042
51,HNRNPUL1,-0.332,0.249
52,PCMT1,0.121,0.514
53,NOLC1,0.455,0.043
54,EPB41L3,0.333,0.243
55,HADH,-0.274,0.44
56,PLS3,0.069,0.663
57,NUP214,3.702,0.0
58,PITPNB,-0.288,0.299
59,IVD,0.034,0.83
60,ILK,-0.081,0.758
61,ELOVL5,-0.172,0.348
62,FKBP8,-0.223,0.485
63,TMED7;TMED7-TICAM2,-0.118,0.503
64,NAA15,0.15,0.623
65,SRSF7,-0.031,0.859
66,TCEB2,0.049,0.793
67,TPT1,-0.1,0.799
68,PWP2,0.039,0.822
69,GSTZ1,-0.296,0.315
70,SET;SETSIP,-0.177,0.361
71,RPSA,0.158,0.479
72,HTRA2,0.191,0.326
73,DDX46,-0.042,0.795
74,ECI2,-0.8,0.1
75,CHD4,-0.139,0.493
76,CAPNS1,-0.07,0.651
77,DDOST,-0.133,0.43
78,LAMTOR5,-0.971,0.002
79,DDX3X;DDX3Y,-0.182,0.275
80,DNM1;DNM2,-0.445,0.304
81,TATDN1,0.468,0.115
82,SPTAN1,-0.445,0.238
83,HSPA1A;HSPA1B,-0.269,0.247
84,GBA,-0.991,0.017
85,PRAMEF10,-0.505,0.335
86,PUF60,-0.021,0.933
87,MATR3,-0.266,0.172
88,PROCR,0.604,0.076
89,HLA-A,-0.898,0.002
90,ALDH7A1,-0.259,0.278
91,MAP2K2;MAP2K1,0.318,0.106
92,CTSD,-0.826,0.013
93,DPYSL2,-0.714,0.076
94,MAPK15,0.303,0.275
95,SFXN3,0.1,0.562
96,ME2,0.099,0.589
97,POLR2B,-0.339,0.067
98,SCARB2,0.443,0.182
99,TCEA1,0.993,0.004
100,DDX17,-0.343,0.401
101,RTTN,0.285,0.153
102,GCSH,0.644,0.022
103,PHGDH,0.056,0.852
104,PPT1,-0.857,0.006
105,CAMK2G;CAMK2B,-0.218,0.215
106,OPA1,-0.114,0.526
107,CD9,-0.001,0.997
108,SMARCE1,0.406,0.198
109,CTNNB1,-0.063,0.802
110,POLR1C,0.953,0.139
111,TPM4,0.132,0.608
112,RPL5,0.31,0.161
113,RPS14,0.242,0.216
114,RPS24,0.338,0.131
115,PFKM,-0.026,0.876
116,HSD17B4,-0.4,0.179
117,CSNK2A1;CSNK2A3,-0.242,0.163
118,RPL15,0.225,0.237
119,SEC23B,-0.229,0.366
120,TPP1,-1.032,0.011
121,EEF1A2,0.123,0.587
122,CD59,-0.091,0.672
123,NDUFA6,0.566,0.015
124,MTHFD1,-0.129,0.427
125,CTPS1,0.527,0.141
126,MCM4,-0.067,0.764
127,RPL29,0.171,0.385
128,ABCD3,-0.271,0.319
129,THRAP3,-0.147,0.459
130,GLA,-1.022,0.001
131,DEK,0.199,0.467
132,SUCLG1,0.014,0.96
133,EBP,0.033,0.863
134,CLUH,-0.059,0.747
135,FKBP2,-0.269,0.298
136,SRSF6,-0.229,0.219
137,AMPD2,1.16,0.164
138,ACAT1,0.178,0.455
139,SACM1L,-0.012,0.938
140,MRPL2,0.575,0.048
141,CTNND1,-0.621,0.038
142,STAT1,-0.104,0.701
143,USP7,-0.044,0.793
144,ILVBL,-0.131,0.594
145,ACO2,-0.084,0.663
146,PRNP,0.38,0.101
147,HCFC1,-0.305,0.223
148,PIGK,0.259,0.205
149,NUDT5,0.085,0.622
150,UNC119;UNC119B,0.852,0.104
151,USP14,0.799,0.147
152,RNPEP,0.079,0.792
153,ENSA;ARPP19,0.01,0.955
154,CRYZ,-0.038,0.882
155,MANF,0.044,0.872
156,SUMO2;SUMO3;SUMO4,-0.301,0.289
157,RPL23A,0.24,0.185
158,SNRPG;SNRPGP15,-0.6,0.01
159,EIF3L,-0.119,0.54
160,UBE2I,-0.196,0.369
161,CPNE1,-1.22,0.028
162,MPST,0.123,0.556
163,MCM5,-0.005,0.985
164,PEA15,0.317,0.241
165,MRPL43,0.225,0.209
166,PRPS1;PRPS1L1,0.239,0.163
167,EXOSC1,0.298,0.197
168,GUK1,0.131,0.697
169,PABPC4,0.058,0.73
170,SOAT1,-0.213,0.383
171,HNRNPC,-0.131,0.447
172,CNN2,-0.821,0.005
173,NDUFV1,0.337,0.114
174,COPS2,-0.107,0.545
175,CS,0.052,0.733
176,CARS,0.001,0.995
177,SLC25A10,0.184,0.335
178,FXR1,-0.144,0.486
179,DERL1,-0.034,0.841
180,PES1,-0.033,0.893
181,RAN,0.14,0.383
182,10-Sep,-0.22,0.361
183,DDX27,0.106,0.503
184,RANBP3,-0.125,0.555
185,ACADM,-0.121,0.5
186,SUMO1,0.12,0.541
187,PTMA,-0.835,0.303
188,IMMT,-0.075,0.771
189,SMARCD2,-0.333,0.157
190,PPP4R2,-0.123,0.598
191,PFN2,-0.506,0.023
192,SRI,-0.044,0.864
193,EEF1E1;EEF1E1-BLOC1S5,-0.225,0.428
194,NCAPH,-0.342,0.267
195,RPL37A,0.176,0.381
196,SSR3,0.925,0.144
197,SNAP29,-0.391,0.105
198,HIGD1A,0.036,0.836
199,APEH,-0.756,0.007
200,MTPN,-0.198,0.239
201,POLR2H,-1.923,0.0
202,RPL24,0.158,0.377
203,L2HGDH,-0.187,0.434
204,AKAP2,0.103,0.588
205,RFC4,-0.873,0.002
206,RPL32,0.299,0.202
207,ACP1,-0.371,0.055
208,HLA-B,-0.679,0.023
209,HNRNPAB,0.075,0.643
210,GNPDA1,-0.022,0.907
211,NCAPG,0.007,0.964
212,COPS4,0.666,0.078
213,EIF4E,0.211,0.329
214,11-Sep,-0.12,0.459
215,SEC31A,-0.331,0.146
216,CYB5B,-0.022,0.9
217,TAF9;TAF9B,-0.525,0.239
218,PAIP1,0.111,0.511
219,GINS4,-0.185,0.432
220,NUDCD2,-0.406,0.111
221,PFDN1,0.435,0.069
222,CHRAC1,-0.111,0.49
223,STMN2,-0.371,0.22
224,RMDN1,-0.073,0.723
225,TBCA,-0.298,0.149
226,TCEB1,0.034,0.823
227,ZNF706,-0.106,0.573
228,RPL30,0.36,0.099
229,SLC39A14,-0.103,0.576
230,SKP1,-0.365,0.082
231,RBM22,0.613,0.08
232,ITGA2,-0.086,0.844
233,AP1M1;AP1M2,2.007,0.001
234,SYNE1,-1.666,0.001
235,RPL14,0.217,0.313
236,07-Sep,-0.103,0.536
237,IDH3G,-0.803,0.017
238,EZR,-0.349,0.115
239,EIF4G1,-0.048,0.758
240,MAP4,-0.044,0.852
241,NDUFB5,0.269,0.341
242,CSTF2,-0.069,0.723
243,EIF4B,-0.148,0.634
244,CALD1,-0.046,0.924
245,NIF3L1,0.122,0.596
246,NACA,-0.221,0.342
247,RBBP7,-0.174,0.357
248,OGDH,-0.271,0.214
249,HNRNPH1,-0.169,0.369
250,MYO1B,-0.341,0.105
251,FUBP1,-0.005,0.984
252,NUP155,-0.032,0.865
253,GSTK1,-0.386,0.207
254,TSN,-0.142,0.402
255,COPS8,-0.322,0.131
256,CLNS1A,0.059,0.763
257,EEF1D,0.106,0.593
258,PRMT1,-0.157,0.34
259,UBTF,0.258,0.235
260,TTC9C,-0.438,0.032
261,NPEPPS,-0.408,0.041
262,NDUFS8,0.291,0.164
263,FAR1,0.198,0.431
264,ANP32E,0.294,0.185
265,RAE1,-0.321,0.082
266,FAU,0.006,0.974
267,C11orf98,0.138,0.407
268,LSM8,-0.572,0.017
269,TMEM258,-0.157,0.337
270,MLEC,0.07,0.677
271,OTUB1,-0.229,0.184
272,ATP6V0D1,-0.43,0.479
273,LIG1,-0.364,0.29
274,SLC3A2,0.133,0.471
275,CPSF7,-0.586,0.018
276,NAP1L1,0.133,0.463
277,TUBA1C,0.146,0.442
278,GRSF1,0.239,0.206
279,MYO1C,0.107,0.789
280,GNS,-0.549,0.073
281,GLOD4,0.371,0.315
282,POLDIP3,-0.052,0.858
283,RANBP1,0.134,0.44
284,CAD,0.165,0.309
285,LIMA1,0.463,0.245
286,COPZ1,-0.469,0.046
287,SLC25A3,0.033,0.836
288,SMARCC2,-0.63,0.018
