,Bait,Prey Gene,Saint Score,log2FC
148,BTRC,GEMIN5,0.0,0.0
149,BTRC,CTTN,0.0,-4.322
150,BTRC,EIF4G2,0.0,-5.059
151,BTRC,ERC1,0.0,-5.644
152,BTRC,CTSB,0.0,0.411
153,BTRC,RPL14,0.0,-2.322
154,BTRC,BTRC,1.0,10.477
155,BTRC,TGM1,0.47,3.907
156,BTRC,TGM3,1.0,5.322
157,BTRC,DHRS2,0.05,0.585
158,BTRC,PELO,0.0,0.0
159,BTRC,TPR,0.0,-0.234
160,BTRC,PHGDH,0.0,0.0
161,BTRC,TXNDC12,1.0,5.322
162,BTRC,CNN3,0.0,-3.644
163,BTRC,CSTF2T,0.0,-2.837
164,BTRC,KATNA1,0.0,-1.599
165,BTRC,COPB1,0.0,-2.943
166,BTRC,SMPD4,0.0,0.0
167,BTRC,ATR,0.0,0.0
168,BTRC,FASN,0.0,-2.396
169,BTRC,H1F0,0.0,-1.599
170,BTRC,HNRNPA1,0.0,-3.837
171,BTRC,ENO1,0.0,-2.12
172,BTRC,MIF,0.16,1.0
173,BTRC,EPB41,0.0,-6.644
174,BTRC,MSH2,0.0,-1.322
175,BTRC,MSH6,0.0,-5.644
176,BTRC,ELAC2,0.0,-1.599
177,BTRC,HSPD1,0.49,3.907
178,BTRC,DNAJC13,0.0,-5.644
179,BTRC,HIST1H3A,0.0,0.227
180,BTRC,LMNA,0.0,-0.377
181,BTRC,SYNE2,0.0,-2.556
182,BTRC,NUP214,0.0,-5.644
183,BTRC,LUC7L2,0.99,4.907
184,BTRC,RPL15,0.0,0.0
185,BTRC,RPL10,0.39,1.0
186,BTRC,RPL11,0.36,1.585
187,BTRC,RPL13,0.0,-1.218
188,BTRC,RPL18,0.26,1.0
189,BTRC,RPL19,0.0,0.0
190,BTRC,TRANK1,0.07,0.585
191,BTRC,PES1,0.0,-5.644
192,BTRC,RAI14,0.0,-1.358
193,BTRC,HELZ,0.0,-2.556
194,BTRC,AHNAK,0.0,-0.761
195,BTRC,MAP1B,0.0,-5.644
196,BTRC,SFPQ,0.0,-5.644
197,BTRC,MAP1S,0.0,-3.184
198,BTRC,UBE2O,0.0,-6.644
199,BTRC,RPL18A,0.0,-0.415
200,BTRC,RPS15A,0.32,1.585
201,BTRC,VCPIP1,0.0,-2.396
202,BTRC,THRAP3,0.0,-6.644
203,BTRC,WAC,0.0,-1.599
204,BTRC,PLEKHM1,0.0,-2.322
205,BTRC,ZC3HAV1L,0.96,4.644
206,BTRC,FAM171A1,0.0,0.0
207,BTRC,IL18,0.16,1.0
208,BTRC,PALLD,0.0,-4.644
209,BTRC,EFHD2,0.0,-3.474
210,BTRC,EIF5,0.0,-2.943
211,BTRC,ANKRD17,0.0,-6.644
212,BTRC,SPTBN1,0.0,-1.396
213,BTRC,TLN1,0.0,-4.322
214,BTRC,PCNA,0.04,0.0
215,BTRC,ANXA2,0.0,-0.556
216,BTRC,MCM7,0.93,4.322
217,BTRC,MCM6,0.0,-3.322
218,BTRC,MCM5,0.49,3.907
219,BTRC,MCM3,0.0,-0.494
220,BTRC,POGZ,0.0,-3.059
221,BTRC,ATP9B,0.0,-2.556
222,BTRC,DHX15,0.0,-5.644
223,BTRC,DSC1,0.97,5.322
224,BTRC,DDX3X,0.0,-3.644
225,BTRC,SAFB,0.0,-3.059
226,BTRC,PMS2,0.0,-6.644
227,BTRC,DDX5,0.0,-2.0
228,BTRC,NACA,0.0,-4.059
229,BTRC,RECQL,0.0,-2.474
230,BTRC,KIAA1109,0.97,5.322
231,BTRC,MISP,0.0,-3.184
232,BTRC,GLOD4,0.05,0.0
233,BTRC,IPO7,0.0,-5.644
234,BTRC,GCN1L1,0.0,-5.059
235,BTRC,CSE1L,0.0,-5.059
236,BTRC,FBL,0.46,1.807
237,BTRC,HCFC1,0.0,-6.644
238,BTRC,CPNE3,0.0,-4.322
239,BTRC,SNRPN,0.0,-2.556
240,BTRC,USP15,0.0,-6.644
241,BTRC,MOV10L1,0.05,0.0
242,BTRC,NPM1,0.0,-6.644
243,BTRC,SBNO1,0.0,-3.644
244,BTRC,AHNAK2,0.0,-2.644
245,BTRC,SYNPO,0.0,-5.059
246,BTRC,CRKL,0.0,-2.12
247,BTRC,ALMS1,0.0,-5.644
248,BTRC,TARDBP,0.0,-3.059
249,BTRC,CDA,0.0,-1.786
250,BTRC,FBXW11,0.93,4.322
251,BTRC,UBE2D3,0.47,3.322
