,Gene Name,log2(Fold change),P-value
187,TCEB1,0.06,0.621
188,RPL30,0.248,0.095
189,SLC39A14,-0.385,0.028
190,ITGA2,-0.376,0.352
191,SEPT7,0.054,0.674
192,MRPS25,1.207,0.059
193,NAA50,-0.236,0.368
194,GPX8,0.331,0.09
195,EIF4G1,-0.23,0.103
196,MAP4,0.397,0.117
197,EIF4B,-0.122,0.393
198,CALD1,-0.172,0.732
199,NACA,-0.001,0.997
200,CCNB1,-0.009,0.971
201,OGDH,-0.133,0.447
202,SMC4,0.071,0.696
203,MYO1B,-0.179,0.265
204,SUCLG2,-0.393,0.213
205,MRPS17;hCG_1984214,-0.12,0.386
206,FUBP1,0.095,0.457
207,NUP155,-0.16,0.372
208,NCAPH,-0.223,0.412
209,THY1,-1.196,0.01
210,SSR2,-0.345,0.116
211,CLNS1A,0.383,0.04
212,EEF1D,0.052,0.71
213,PRMT1,-0.166,0.276
214,NDUFS8,0.357,0.108
215,NPEPPS,-0.215,0.223
216,VKORC1,0.599,0.014
217,FDFT1,-0.831,0.067
218,FAU,-0.362,0.076
219,LSM8,-0.506,0.023
220,TMEM258,-0.124,0.342
221,MLEC,0.493,0.084
222,OTUB1,-0.044,0.716
223,SLC3A2,-0.085,0.488
224,NAP1L1,-0.026,0.839
225,TUBA1C,0.147,0.483
226,GRSF1,-0.178,0.197
227,MYO1C,0.078,0.82
228,MAGOHB,-0.118,0.465
229,GNS,-0.422,0.035
230,POLDIP3;PDIP46,-0.565,0.086
231,RANBP1,0.232,0.146
232,CAD,0.168,0.202
233,LIMA1,0.726,0.109
234,UBE2N,1.537,0.114
235,SLC25A3,0.068,0.574
236,PPP1CC,-0.707,0.051
237,AK2,0.046,0.73
238,MYL6,0.024,0.884
239,COPZ1,-0.205,0.563
240,HNRNPA1,-0.128,0.437
241,MRE11A,-0.489,0.217
242,IGF2BP2,-1.765,0.0
243,EIF2A,-0.325,0.311
244,DDX56,0.27,0.111
245,GSDMD,-1.143,0.095
246,API5,-0.205,0.273
247,NRD1,1.898,0.226
248,SNW1,-0.164,0.303
249,NUMB,0.548,0.013
250,PSMA6,-0.057,0.708
251,MRPS22,0.151,0.561
252,CELF1,-0.228,0.207
253,SEC24C,-0.555,0.009
254,HNRNPH1,-0.199,0.276
255,ZYX,0.309,0.341
256,HNRNPD,-0.035,0.772
257,DLAT,0.155,0.345
258,EMC7,-0.337,0.065
259,PPP5C,-1.102,0.094
260,HADHA,0.05,0.712
261,TMOD3,0.713,0.037
262,ANP32A,0.702,0.04
263,RNPS1,0.547,0.145
264,,0.299,0.292
265,RPS17,0.026,0.865
266,HEXA,-0.48,0.048
267,FUS,0.011,0.959
268,NDUFB10,-0.072,0.614
269,HACD3,0.024,0.845
270,DHX30,0.189,0.243
271,PDIA3,-0.053,0.683
272,C7orf50,-2.327,0.0
273,EBNA1BP2,0.308,0.061
274,SRRT,-0.129,0.526
275,NSF,-0.443,0.108
276,SLC25A11,-0.249,0.163
277,EIF5A;EIF5A2;EIF5AL1,-0.29,0.055
278,PSMD13,-0.156,0.393
279,SRSF2,-0.106,0.423
280,PTRH2,-0.184,0.23
281,SUMF2,-0.144,0.477
282,APOL2,-0.572,0.421
283,RPL36AL;RPL36A;RPL36A-HNRNPH2,0.157,0.226
284,DCXR,0.184,0.187
285,CBX1,-0.215,0.123
286,ZNF207,0.259,0.245
287,MRPS7,-0.249,0.223
288,DDX5,-0.356,0.09
289,RPL19,-0.036,0.811
290,SRSF1,-0.05,0.69
291,CHERP,0.327,0.063
292,SNRPB;SNRPN,-0.128,0.333
293,MRPS23,0.009,0.952
294,RPL18,0.265,0.081
295,PNPO,0.143,0.371
296,MYL12A;MYL12B,0.238,0.156
297,YES1,-0.739,0.009
298,BUB3,-0.4,0.039
299,CD151,-1.506,0.001
300,UNC13D,0.191,0.331
301,DNAJC7,-0.284,0.071
302,KATNAL2,-0.173,0.256
303,HEATR6,-0.832,0.354
304,LONP1,-0.234,0.207
305,RPS15,0.39,0.028
306,PRKCSH,0.266,0.074
307,PARK7,-0.363,0.029
308,EIF1,0.24,0.151
309,U2AF2,-0.042,0.817
310,TXNL1,-0.063,0.651
311,EIF3K,0.052,0.73
312,PSME3,0.037,0.845
313,COPE,0.186,0.638
314,ETHE1,0.071,0.746
