,Gene Name,log2(Fold change),P-value
185,AP1M1;AP1M2,1.485,0.056
186,RPL14,0.137,0.362
187,SEPT7,-0.13,0.373
188,MRPS25,0.234,0.376
189,NAA50,-0.063,0.799
190,EZR,-0.196,0.25
191,ACIN1,-0.073,0.747
192,HMGB3,-0.09,0.484
193,U2SURP,-0.233,0.614
194,GPX8,-0.2,0.287
195,EIF4G1,-0.114,0.368
196,MAP4,0.093,0.673
197,NDUFB5,-0.064,0.668
198,CSTF2;CSTF2T,-0.181,0.37
199,EIF4B,-0.074,0.609
200,CALD1,-0.396,0.457
201,DCTN1,0.147,0.364
202,NACA,-0.175,0.199
203,HK2,0.441,0.201
204,RBBP7,-0.087,0.733
205,OGDH,0.134,0.512
206,HNRNPH1,-0.12,0.402
207,SMC4,0.295,0.331
208,MYO1B,-0.276,0.103
209,MRPS17;hCG_1984214,-0.435,0.127
210,FUBP1,-0.037,0.767
211,DLAT,-0.008,0.961
212,NUP155,-0.121,0.573
213,BZW2,0.326,0.144
214,TSN,0.16,0.472
215,COPS8,-0.392,0.033
216,PRMT1,-0.102,0.455
217,NPEPPS,0.745,0.278
218,ANP32E,1.769,0.186
219,NDUFS8,0.12,0.47
220,RAE1,-0.319,0.068
221,FAU,-0.076,0.536
222,C11orf98,0.017,0.922
223,NSFL1C,0.499,0.174
224,LSM8,-0.682,0.006
225,TMEM258,-0.099,0.461
226,MLEC,0.103,0.649
227,OTUB1,-0.129,0.353
228,LIG1,-0.454,0.183
229,SLC3A2,-0.157,0.237
230,TUBA1C,0.128,0.588
231,GRSF1,0.062,0.733
232,CPSF7,-0.68,0.009
233,MYO1C,0.18,0.578
234,GNS,-0.201,0.22
235,GLOD4,0.43,0.179
236,POLDIP3,-0.106,0.704
237,CAD,0.075,0.581
238,SLC25A3,0.094,0.451
239,PPP1CC,-0.302,0.148
240,PPP1R12A,0.149,0.392
241,AK2,0.186,0.212
242,MYL6,0.133,0.448
243,HNRNPA1,-0.046,0.782
244,MRE11A,-0.329,0.258
245,NDRG3,-0.12,0.49
246,CAPRIN1,-0.249,0.114
247,API5,-0.362,0.074
248,RPL18,0.541,0.015
249,SNW1,-0.126,0.405
250,PSMA6,-0.192,0.228
251,MRPS22,0.061,0.816
252,CELF1,-0.306,0.096
253,TWF2,-0.747,0.003
254,HNRNPD,-0.023,0.868
255,TPD52,-0.063,0.607
256,CD44,0.105,0.702
257,HADHA,0.094,0.497
258,DUT,0.153,0.488
259,RPL28,0.241,0.302
260,TMOD3,0.491,0.103
261,PSMA4,-0.145,0.311
262,LDLR,-0.9,0.009
263,ANP32A,0.445,0.129
264,RAB11A;RAB11B,-0.226,0.111
265,RNPS1,-0.337,0.063
266,HN1L,-0.021,0.868
267,H3BN98,0.395,0.491
268,RPS17,0.042,0.752
269,MACF1,1.138,0.117
270,FUS,-0.07,0.743
271,BOLA2;BOLA2B,0.034,0.825
272,DHX30,0.012,0.935
273,PDIA3,-0.096,0.467
274,C7orf50,-2.42,0.0
275,EBNA1BP2,0.441,0.018
276,GIGYF2,-1.207,0.028
277,NSF,-0.284,0.102
278,SLC25A11,-0.27,0.111
279,EIF5A;EIF5AL1;EIF5A2,-0.073,0.588
280,RPS15A,0.057,0.668
281,SRSF2,-0.226,0.118
282,OLA1,0.258,0.085
283,PTRH2,-0.076,0.585
284,SUMF2,0.002,0.991
285,RPL36AL;RPL36A;RPL36A-HNRNPH2,0.378,0.027
286,NUP85,1.321,0.34
287,HN1,0.025,0.849
288,DDX5,-0.453,0.029
289,RPL19,0.223,0.19
290,SRSF1,-0.154,0.258
291,CHERP,0.416,0.026
292,SNRPB;SNRPN,-0.239,0.11
293,MRPS23,-0.265,0.213
294,MYL12B;MYL12A,0.251,0.145
295,YES1,-0.633,0.005
296,BUB3,-0.327,0.065
297,DNAJC7,-0.318,0.137
298,KATNAL2,-0.138,0.351
299,FMNL1,-0.163,0.639
300,LONP1,-0.301,0.271
301,PRKCSH,0.076,0.56
302,SEH1L,-0.438,0.04
303,PARK7,-0.224,0.147
304,RNMT,-0.229,0.362
305,PDCD5,0.347,0.121
306,TXNL1,-0.086,0.564
307,EIF3K,-0.164,0.476
308,PSME3,-0.073,0.674
309,COPE,0.071,0.871
310,ETHE1,-0.013,0.944
311,FBL,0.107,0.401
312,SLC1A5,0.509,0.119
313,HNRNPM,0.18,0.24
314,RPS5,0.322,0.066
315,NAPA,0.323,0.1
316,RPL18A,0.267,0.113
317,AGPS,-0.169,0.303
318,DDX39A,0.391,0.028
319,AIP,0.098,0.678
320,AP3B1,-0.1,0.646
321,PSMD11,-0.237,0.107
322,PSMD12,-0.826,0.175
323,PGRMC1,-0.01,0.947
324,SUPT5H,0.287,0.123
325,CLIC1,-0.042,0.732
326,EIF3F,-0.439,0.053
327,SAP18,0.164,0.247
328,DNM1L,0.046,0.779
329,PSMD14,-0.295,0.191
330,KPNA3,-0.291,0.089
331,NOP56,0.012,0.937
332,PODXL,-0.536,0.115
333,PDXK,-0.206,0.384
334,PRMT5,0.017,0.939
335,SLC9A3R1,0.216,0.218
336,TCERG1,-0.929,0.071
337,PSMA7,0.028,0.896
338,SCAMP3,-0.343,0.116
339,HAT1,0.009,0.956
340,UQCRQ,-0.224,0.415
341,PLXNB2,-0.0,1.0
342,ARPC1B,0.002,0.988
343,ARPC3,-0.147,0.384
344,PGRMC2,0.001,0.995
345,SURF4,-0.128,0.346
346,OGT,-0.784,0.01
347,PPM1G,-0.057,0.77
348,EIF3D,0.109,0.576
349,STX7,0.327,0.144
350,MAGEB2,-0.233,0.109
351,YKT6,0.103,0.692
352,DHX15,-0.142,0.284
353,PRPF4,-1.958,0.0
354,PSMD3,0.014,0.913
355,ZW10,-0.259,0.52
356,SART1,-0.033,0.793
357,HNRNPR,-0.02,0.887
358,EPB41L2,0.38,0.027
359,TIMM44,0.208,0.53
360,PLRG1,0.089,0.518
361,ACTN4,0.076,0.631
362,NUDT21,-0.592,0.009
363,RRP9,-0.313,0.064
364,CALU,-0.811,0.042
365,TIMM8A,0.009,0.968
366,SYNCRIP,0.898,0.153
367,PLOD3,0.227,0.419
368,PLIN3,0.071,0.574
369,KPNA6;KPNA1,0.036,0.81
370,UGDH,0.008,0.983
371,SNX2,-0.083,0.64
372,PQBP1,0.25,0.095
373,DKC1,-0.071,0.692
374,EDF1,-0.18,0.205
375,DNAJA2,0.37,0.475
376,WDR1,-0.12,0.398
377,CPNE3,-0.008,0.949
378,NDUFS2,0.038,0.852
379,PDCD6,0.213,0.251
380,ATP6V1G1;ATP6V1G2;ATP6V1G2-DDX39B,-0.364,0.071
381,H2AFY,0.017,0.887
382,FLNB,0.47,0.029
383,SEC22B,0.019,0.89
384,VPS26A,-0.468,0.124
385,PMPCB,0.051,0.741
386,PSIP1,-0.126,0.662
387,ERLIN1,-0.22,0.119
388,SRSF10,0.249,0.124
389,BANF1,-0.418,0.03
390,SF3B1,-0.131,0.356
391,CSDE1,-0.335,0.061
392,PRKRA,-0.054,0.729
393,NPM3,0.322,0.14
394,ERAL1,1.128,0.03
395,SNRNP200,-0.283,0.068
396,UTP20,-0.208,0.907
397,EIF3J,-1.657,0.161
398,IDH1,-0.365,0.135
399,BCAS2,-0.044,0.748
400,DNAJC8,0.576,0.125
401,ATP5H,0.071,0.584
402,ATP5L,-0.09,0.599
403,RSL1D1,0.025,0.856
404,SRP72,-1.212,0.009
405,MTA2,-0.361,0.081
406,TOMM70A,0.223,0.202
407,GLS,-0.496,0.11
408,NDUFB4,0.516,0.041
409,VAPB,-0.032,0.897
410,SMC2,0.108,0.612
411,IPO7,-0.015,0.95
412,AHSA1,-0.161,0.327
413,NSA2,-0.392,0.098
414,AP2A1,-0.123,0.423
415,BAG2,-0.277,0.303
416,BAG3,-0.418,0.034
417,AIFM1,-1.304,0.001
418,FADS2,-0.624,0.337
419,TXNDC12,0.041,0.883
420,NDUFB10,0.08,0.764
421,ACTL6A,-0.969,0.011
422,CYB5A,-0.287,0.281
423,LDHA,0.014,0.911
424,GLUD1;GLUD2,-0.038,0.768
425,CYB5R3,-0.081,0.66
426,GSR,0.152,0.251
427,MT-CO2,0.154,0.646
428,GOT2,0.11,0.405
429,PGK1,0.006,0.963
430,NRAS,-0.644,0.082
431,LMNA,-0.146,0.391
432,TFRC,0.337,0.156
433,CAT,0.401,0.149
434,ALDOA,-0.245,0.09
435,ANXA1,-0.108,0.506
436,SOD2,-0.415,0.041
437,OAT,0.195,0.194
438,TK1,-0.526,0.013
439,GAPDH,-0.059,0.627
440,HSPB1,-0.204,0.466
441,TYMS,0.048,0.738
442,RPN1,-0.144,0.274
443,RPN2,0.055,0.696
444,GNAI2,-0.445,0.018
445,HIST1H2AC;HIST3H2A;HIST1H2AB,-0.101,0.644
446,ATP1A1,0.093,0.46
447,ATP1B1,0.229,0.319
448,ALDH2,0.205,0.311
449,SLC25A5,-0.097,0.433
450,EIF2S1,-0.036,0.823
451,RPLP1,-0.082,0.513
452,RPLP2,-0.012,0.927
453,RPLP0,0.058,0.639
454,SSB,0.109,0.552
455,ITGB1,-0.089,0.572
456,KRT18,-0.13,0.359
457,ATP5B,-0.009,0.954
458,ENO1,-0.076,0.58
459,NPM1,0.154,0.364
460,LDHB,-0.083,0.509
461,P4HB,-0.129,0.337
462,ANXA2;ANXA2P2,-0.072,0.621
463,CAPN1,-0.003,0.988
464,TUBB,-0.122,0.337
465,PSAP,-0.003,0.994
466,PFN1,-0.176,0.21
467,EPRS,0.096,0.493
468,CTSB,-0.935,0.005
469,HSP90AA1,-0.12,0.513
470,FH,0.109,0.456
471,ANXA6,0.056,0.757
472,RHOC;RHOA,0.065,0.603
473,HSP90AB1,-0.242,0.098
474,PDHA1,0.323,0.042
475,CYC1,0.205,0.229
476,MYL3;MYL1,-0.084,0.662
477,SNRNP70,-0.49,0.043
478,VIM,0.227,0.145
479,GNAI3,-0.37,0.073
480,ANXA5,-0.127,0.342
481,GSTP1,0.055,0.77
482,SNRPC,0.107,0.637
483,LGALS1,0.045,0.785
484,HMGB1,-0.075,0.559
485,CLTA,-0.118,0.404
486,DLD,-0.183,0.248
487,SNRPA1,-0.061,0.713
488,COX6C,1.016,0.004
489,PARP1,-0.023,0.85
490,H2AFV;H2AFZ,0.072,0.711
491,UQCRFS1;UQCRFS1P1,-0.16,0.604
492,U2AF1;U2AF1L4,-0.181,0.202
493,CALM2;CALM3;CALM1,-0.267,0.223
494,FDX1,-0.593,0.019
495,GAA,-0.046,0.849
496,HIST1H1E;HIST1H1D,-0.193,0.23
497,COX5B,-0.456,0.099
498,HSPD1,0.117,0.378
499,HSPA5,-0.039,0.803
500,HSPA8,-0.311,0.111
501,PDHB,0.09,0.596
502,RALA;RALB,-0.172,0.22
503,LAMP1,0.111,0.541
504,TOP2A,0.025,0.847
505,G6PD,-0.02,0.927
506,IGF2R,-0.307,0.109
507,PABPC1,-0.172,0.288
508,PCNA,-0.188,0.342
509,HARS,0.48,0.025
510,SLC25A6,-0.223,0.319
511,IMPDH2,0.337,0.108
512,TPR,0.032,0.8
513,ANXA3,-0.117,0.484
514,CKMT1A;CKMT1B,-0.081,0.665
515,ACTN1,0.223,0.275
516,XRCC6,-0.068,0.59
517,XRCC5,-0.058,0.652
518,COX4I1,0.011,0.946
519,RNH1,0.037,0.799
520,EEF2,0.008,0.956
521,PDIA4,-0.228,0.278
