,Gene Name,log2(Fold change),P-value
189,APEH,-0.265,0.165
190,MTPN,0.056,0.68
191,POLR2H,-1.771,0.0
192,RPL22L1,0.445,0.211
193,RPL32,0.332,0.063
194,ACP1,-0.072,0.585
195,HLA-B,-0.709,0.002
196,HNRNPAB,0.028,0.829
197,EIF4E,0.057,0.679
198,SEPT11,-0.263,0.072
199,SEC31A,-0.092,0.63
200,TAF9;TAF9B,-0.798,0.006
201,EXOSC9,-0.315,0.088
202,PAIP1,-0.019,0.883
203,CIRBP,0.208,0.372
204,GINS4,-0.674,0.147
205,TATDN1,0.454,0.103
206,PROSC,0.152,0.455
207,CHRAC1,-0.254,0.093
208,TCEB1,-0.092,0.454
209,ERLIN2,-0.018,0.902
210,RPL30,0.367,0.033
211,DNPEP,-0.064,0.876
212,PLAA,0.357,0.072
213,SLC39A14,-0.091,0.617
214,SKP1,-0.426,0.043
215,FLOT2,-1.13,0.009
216,AP1M1,0.339,0.178
217,SEPT7,-0.231,0.184
218,NAA50,0.045,0.851
219,HMGB3,-0.018,0.902
220,GPX8,0.105,0.588
221,EIF4G1,-0.172,0.256
222,MAP4,0.053,0.789
223,NDUFB5,0.157,0.385
224,CSTF2,-0.19,0.18
225,EIF4B,-0.021,0.892
226,CALD1,-0.074,0.876
227,DCTN1,0.002,0.991
228,NIF3L1,-0.355,0.057
229,NACA,-0.061,0.638
230,RBBP7,-0.248,0.178
231,CCNB1,-0.295,0.174
232,SMC4,-0.121,0.372
233,MYO1B,-0.27,0.12
234,MRPS17;hCG_1984214,0.004,0.976
235,FUBP1,-0.074,0.57
236,NUP155,-0.333,0.141
237,TSN,-0.47,0.011
238,COPS8,-0.279,0.304
239,NCAPH,-0.264,0.299
240,SSR2,-0.171,0.389
241,EEF1D,0.253,0.143
242,BCLAF1,-0.376,0.057
243,PRMT1,-0.095,0.457
244,RELA,0.144,0.301
245,NDUFS8,0.049,0.717
246,UBTF,0.072,0.583
247,BTF3L4,0.524,0.036
248,NPEPPS,-0.244,0.102
249,SMAP;C11orf58,0.372,0.083
250,CLNS1A,0.369,0.042
251,FDFT1,-0.494,0.267
252,RAE1,-0.098,0.656
253,PFDN4,0.052,0.744
254,C11orf98,0.037,0.768
255,UBXN1,0.103,0.587
256,LSM8,-0.437,0.022
257,TMEM258,-0.027,0.851
258,PTMS,-0.891,0.03
259,OTUB1,-0.141,0.292
260,ATP6V0D1,-0.5,0.338
261,LIG1,-0.351,0.254
262,SLC3A2,0.014,0.931
263,SNRPG;SNRPGP15,-0.542,0.007
264,GPHN,-0.924,0.075
265,NAP1L1,0.031,0.808
266,TUBA1C,0.053,0.738
267,GRSF1,-0.091,0.498
268,CPSF7,-0.85,0.002
269,MYO1C,0.001,0.998
270,GLOD4,0.287,0.201
271,POLDIP3,-0.673,0.002
272,RANBP1,0.234,0.175
273,CAD,-0.019,0.89
274,COPZ1,-0.228,0.111
275,SLC25A3,-0.706,0.157
276,PPP1CC,-0.022,0.913
277,AK2,0.064,0.598
278,MYL6,-0.182,0.301
279,NRBP1,-0.078,0.693
