,Gene Name,log2(Fold change),P-value
185,MRPS17;hCG_1984214,0.218,0.298
186,FUBP1,0.062,0.643
187,DLAT,0.295,0.071
188,NUP155,-0.297,0.218
189,MTCH2,-0.224,0.151
190,THY1,-0.667,0.064
191,SSR2,-0.306,0.174
192,EEF1D,0.147,0.374
193,PRMT1,0.24,0.353
194,NDUFS8,0.346,0.063
195,NPEPPS,-0.248,0.164
196,FDFT1,-0.604,0.358
197,RAE1,0.346,0.039
198,TMEM258,-0.035,0.794
199,ALCAM,0.296,0.156
200,OTUB1,0.107,0.691
201,SLC3A2,-0.0,0.999
202,SNRPG;SNRPGP15,-0.759,0.024
203,GPHN,0.782,0.418
204,CPSF7,-0.343,0.09
205,SEC23A,0.08,0.534
206,NAP1L1,0.053,0.675
207,TUBA1C,0.122,0.441
208,GRSF1,0.125,0.376
209,MYO1C,0.019,0.95
210,MAGOHB,-0.207,0.177
211,GNS,-0.661,0.018
212,RANBP1,0.564,0.01
213,CAD,0.088,0.574
214,LIMA1,-0.769,0.342
215,PPP1R12A,-0.158,0.404
216,AK2,-0.015,0.931
217,MYL6,-0.177,0.338
218,HNRNPA1;HNRNPA1L2,-0.117,0.443
219,MRE11A,-0.299,0.094
220,IGF2BP2,-3.133,0.004
221,PARP2,-0.513,0.095
222,API5,-0.042,0.83
223,LIN7C,0.206,0.469
224,GOLT1B,-0.05,0.689
225,SNW1,-0.196,0.229
226,GSTZ1,1.283,0.01
227,PSMA6,-0.03,0.839
228,CTNNA1,-0.729,0.024
229,MRPS22,0.523,0.108
230,CLPTM1L,-0.216,0.215
231,CELF1,-0.302,0.135
232,SEC24C,-0.203,0.196
233,HNRNPH1,-0.319,0.117
234,ZYX,0.727,0.031
235,IMPDH2,0.195,0.183
236,TLR9;TWF2,-1.023,0.009
237,HNRNPD,-0.084,0.536
238,HADHA,-0.031,0.821
239,DUT,0.257,0.306
240,RPL28,-0.013,0.941
241,TMOD3,0.505,0.078
242,PSMA4,-0.126,0.446
243,IDH3A,-0.797,0.217
244,RPS27;RPS27L,-0.031,0.883
245,RNPS1,-0.342,0.147
