,Gene Name,log2(Fold change),P-value
0,CDK1;CDC2,-0.022,0.855
1,HDLBP,-0.328,0.058
2,PSMA2,-0.084,0.485
3,BAG6;BAT3,0.175,0.204
4,TAF15,-0.224,0.186
5,TXNRD1,0.14,0.431
6,HMOX2,-0.067,0.797
7,EIF2B4,-1.039,0.136
8,KHSRP,0.043,0.699
9,HNRNPDL,-0.386,0.135
10,POLA1,0.142,0.318
11,CTNNBL1,-0.183,0.16
12,HNRNPDL,-0.115,0.379
13,SLIRP,-0.413,0.02
14,EIF5B,0.085,0.56
15,BSG,0.178,0.272
16,SPTBN1,-0.524,0.023
17,MTHFD1L,0.028,0.861
18,POLR2E,-0.63,0.042
19,NOMO2;NOMO1;NOMO3,-1.955,0.222
20,POLD2,0.298,0.472
21,TRAPPC3,-0.181,0.31
22,TPM3,-0.077,0.522
23,TARDBP;TDP43,-0.215,0.275
24,RPL17;RPL17-C18orf32,0.317,0.094
25,ITGB6,0.05,0.723
26,VTA1,0.033,0.78
27,UBE2D3;UBE2D2,-0.274,0.161
28,UGP2,-0.263,0.066
29,SBDS,-0.094,0.443
30,HYOU1,-0.174,0.298
31,ACOT1;ACOT2,-0.321,0.082
32,RAB18,-0.196,0.227
33,STAU1,0.261,0.327
34,PSME2,-0.382,0.023
35,MRPL45,-0.895,0.386
36,GPS1,-0.202,0.372
37,WDR18,-0.855,0.28
38,HNRNPUL1,-0.879,0.005
39,EPB41L3,0.137,0.639
40,SNX6,-0.316,0.122
41,NOLC1,0.466,0.053
42,HADH,-0.153,0.658
43,DDX42,-0.783,0.197
44,PLS3,0.823,0.15
45,PITPNB,-0.308,0.296
46,IVD,-0.188,0.242
47,ILK,-0.184,0.207
48,FKBP8,-0.814,0.035
49,ADSL,0.29,0.073
50,TMED7;TMED7-TICAM2,-0.104,0.42
51,NAA15,-0.019,0.903
52,SRSF7,-0.364,0.048
53,TCEB2,-0.157,0.273
54,RPS15,0.37,0.023
55,TPT1,0.064,0.792
56,PWP2,-0.284,0.061
57,CYP51A1,-0.087,0.938
58,GSTZ1,0.067,0.807
59,SET;SETSIP,-0.331,0.078
60,RPSA,0.232,0.12
61,HTRA2,1.091,0.191
62,DDX46,-0.539,0.006
63,CHD4,-0.076,0.666
64,CAPNS1,-0.121,0.372
65,DDOST,-0.134,0.33
66,TBL1XR1,-0.783,0.022
67,DDX3X;DDX3Y,-0.239,0.142
68,SPTAN1,-0.087,0.694
69,HSPA1A;HSPA1B,-0.259,0.117
70,SCRIB,-0.354,0.084
71,PUF60,0.411,0.252
72,MATR3,-0.33,0.038
73,PROCR,0.589,0.023
74,ROCK1;ROCK2,-0.714,0.017
75,PACSIN2,-0.198,0.353
76,HLA-A,-0.808,0.006
77,ALDH7A1,-0.318,0.113
78,CTSD,-0.86,0.001
79,DPYSL2,-0.625,0.086
80,MAPK15,-0.166,0.238
81,SFXN3,0.031,0.852
82,A0A1W2PNV4,-0.281,0.067
83,ME2,-0.114,0.527
84,POLR2B,-0.071,0.806
85,SCARB2,-0.109,0.614
86,BCLAF1,-0.339,0.095
87,DDX17,-0.236,0.448
88,RTTN,0.084,0.499
89,GCSH,0.529,0.033
90,PHGDH,-0.072,0.789
91,RRM2,0.369,0.683
92,PPT1,-0.863,0.001
93,CD9,-0.625,0.019
94,CTNNB1,-0.142,0.298
95,POLR1C,-0.343,0.033
96,TPM4,0.157,0.223
97,RPS14,0.151,0.243
98,RPS24,0.169,0.187
99,PFKM,0.053,0.758
100,HSD17B4,-0.575,0.022
101,CSNK2A1;CSNK2A3,-0.199,0.217
102,SEC23B,0.062,0.59
103,TPP1,-1.245,0.001
104,EEF1A2,0.086,0.646
105,CD59,-0.257,0.065
106,MTHFD1,0.039,0.723
107,CTPS1,0.406,0.067
108,MOGS,-0.381,0.031
109,TCOF1,0.505,0.028
110,PPM1B;PPM1A,-1.411,0.001
111,COPA,-0.002,0.987
112,NDUFA9,0.758,0.004
113,EIF2B5,0.259,0.068
114,MCM4,-0.349,0.099
115,RPL29,0.04,0.801
116,ABCD3,0.293,0.101
117,THRAP3,-0.131,0.274
118,NHP2L1,-0.11,0.556
119,GLA,-0.633,0.021
120,SUCLG1,-0.459,0.011
121,CLUH,0.172,0.212
122,NOP56,-0.03,0.826
123,FKBP2,-0.55,0.011
124,SRSF6,-0.38,0.021
125,AMPD2,0.339,0.079
126,AIMP1,-0.113,0.49
127,ACAT1,0.156,0.35
128,SACM1L,0.373,0.09
129,PQBP1,0.365,0.028
130,CTNND1,-1.041,0.004
131,STAT1,-0.157,0.433
132,USP7,0.15,0.308
133,UBA6,-0.108,0.407
134,ILVBL,-0.049,0.836
135,ACO2,-0.146,0.255
136,PRNP,-0.02,0.901
137,HCFC1,-0.346,0.035
138,NUDT5,0.278,0.09
139,UNC119;UNC119B,-0.222,0.229
140,USP14,0.025,0.852
141,RNPEP,-0.181,0.546
142,CRYZ,-0.254,0.101
143,PRAF2,-0.797,0.004
144,SUMO2;SUMO3,-0.923,0.001
145,EIF3L,0.006,0.974
146,UBE2I,-0.095,0.561
147,ERLIN1;ERLIN2,-0.175,0.369
148,MPST,0.53,0.052
149,MCM5,-0.149,0.42
150,PSMD10,-0.11,0.704
151,PEA15,0.043,0.777
152,MRPL43,-0.196,0.503
153,PRPS1;PRPS1L1,0.186,0.151
154,EXOSC1,-0.228,0.234
155,PABPC4,0.185,0.225
156,HNRNPC,-0.226,0.122
157,CNN2,-0.604,0.009
158,NDUFV1,-0.729,0.003
159,CS,0.019,0.89
160,CARS,-0.417,0.094
161,B4DLN1,0.147,0.228
162,FXR1,-0.075,0.711
163,DERL1,-0.231,0.133
164,EML4,0.42,0.299
165,BZW2,0.163,0.289
166,PES1,0.209,0.188
167,RAN,-0.041,0.709
168,SEPT10,-0.115,0.655
169,UQCRB,1.02,0.086
170,DDX27,0.367,0.025
171,RANBP3,-0.191,0.224
172,NMT1,0.078,0.534
173,ACADM,-0.23,0.36
174,SUMO1,0.008,0.956
175,PTMA,-0.222,0.095
176,HIBCH,-1.132,0.139
177,IMMT,0.791,0.069
178,DKC1,0.27,0.41
179,BZW1,-0.452,0.139
180,SRI,-0.206,0.397
181,NCAPH,-0.357,0.25
182,PDCD10,0.083,0.702
183,NAP1L4,-0.044,0.726
184,CALD1,0.53,0.488
185,RAB7A,-0.209,0.176
186,HIGD1A,0.282,0.073
187,NSDHL,-0.295,0.202
188,FAHD2A,0.015,0.908
189,APEH,-0.364,0.051
190,ATP5J2;ATP5J2-PTCD1,-0.31,0.253
191,MTPN,-0.137,0.265
192,POLR2H,-1.065,0.001
193,NAA10;NAA11,-0.241,0.464
194,KBTBD13,0.846,0.284
195,RAB6A;RAB6B;RAB39A,0.128,0.451
196,RCC1,0.621,0.175
197,RFC4,-0.315,0.139
198,RPL32,0.243,0.077
199,HLA-B,-0.714,0.011
200,HNRNPAB,0.159,0.432
201,GNPDA1,-0.061,0.649
202,NDUFAF2,0.388,0.044
203,NCAPG,-0.4,0.02
204,COPS4,-0.195,0.325
205,EIF4E,0.018,0.89
206,SEPT11,-0.234,0.08
207,SEC31A,0.241,0.282
208,CYB5B,-0.19,0.243
209,THOC3,-0.482,0.039
210,PAIP1,-0.344,0.036
211,CIRBP,-0.114,0.485
212,GINS4,0.793,0.012
213,PFDN1,0.853,0.005
214,CHRAC1,-0.083,0.477
215,TBCA,-0.104,0.436
216,TCEB1,-0.178,0.171
217,ZNF706,-0.236,0.096
218,RPL30,0.236,0.09
219,DNPEP,0.374,0.185
220,SLC39A14,-0.236,0.139
221,RBM22,0.169,0.395
222,ITGA2,-0.772,0.092
223,AP1M1;AP1M2,0.582,0.05
224,PGM2,0.641,0.051
225,SEPT7,-0.166,0.209
226,NAA50,-0.112,0.654
227,U2SURP,-0.291,0.528
228,GPX8,0.378,0.521
229,EIF4G1,-0.165,0.196
230,MAP4,0.076,0.724
231,EIF4B,-0.427,0.099
232,DCTN1,0.034,0.798
233,NIF3L1,0.099,0.496
234,NACA,0.006,0.977
235,RBBP7,-0.315,0.084
236,OGDH,-0.038,0.766
237,SMC4,-0.061,0.871
238,CRMP1,0.019,0.876
239,MYO1B,-0.363,0.032
240,SUCLG2,-0.392,0.042
241,FUBP1,-0.071,0.583
242,DLAT,0.068,0.676
243,NUP155,-0.096,0.557
244,TSN,-0.295,0.121
245,COPS8,-0.039,0.757
246,HTATIP2,0.241,0.439
247,CSTF2,0.012,0.944
248,SSR2,-0.257,0.213
249,EEF1D,0.206,0.173
250,PRMT1,0.043,0.734
251,NDUFS8,0.567,0.011
252,TTC9C,-0.3,0.043
253,NPEPPS,-0.168,0.19
254,SMAP;C11orf58,-0.099,0.523
255,FDFT1,-0.472,0.105
256,FAU,-0.114,0.41
257,NSFL1C,1.002,0.116
258,LSM8,-0.279,0.306
259,TMEM258,-0.214,0.123
260,MLEC,0.079,0.679
261,ALCAM,0.655,0.004
262,PTMS,0.089,0.836
263,OTUB1,-0.314,0.043
264,SLC3A2,0.009,0.96
265,SNRPG;SNRPGP15,-0.789,0.034
266,GPHN,-0.244,0.568
267,CPSF7,-0.681,0.008
268,NAP1L1,0.135,0.258
269,TUBA1C,-0.048,0.744
270,GRSF1,0.089,0.467
271,MYO1C,0.062,0.86
272,MVK,0.441,0.561
273,GNS,-0.619,0.014
274,POLDIP3;PDIP46,-0.152,0.67
275,RANBP1,0.341,0.032
276,CAD,0.078,0.498
277,LIMA1,0.681,0.123
278,SLC25A3,0.034,0.775
279,PPP1R12A,-0.232,0.282
280,AK2,0.014,0.928
281,MYL6,-0.046,0.777
282,NRBP1,0.388,0.074
283,HNRNPA1,0.001,0.995
284,MRE11A,-0.426,0.033
285,UBA3,-2.007,0.003
286,IGF2BP2,-2.274,0.0
287,EIF2A,-0.227,0.445
288,NDUFA5,0.07,0.559
289,NDRG3,0.781,0.329
290,DPP3,0.498,0.01
291,API5,-0.388,0.062
292,NRD1,-0.026,0.848
293,GOLT1B,-0.12,0.313
294,SNW1,-0.487,0.015
295,PSMA6,-0.12,0.379
296,PFN2,-0.334,0.079
297,ACP1,-0.241,0.09
298,MRPS22,-0.064,0.803
299,CELF1,-0.188,0.288
300,SEC24C,-0.026,0.916
301,HNRNPH1,-0.336,0.059
302,ZYX,0.229,0.349
303,IMPDH2,0.114,0.342
304,HNRNPD,-0.098,0.431
305,DNPH1,-0.066,0.629
306,TPD52,0.422,0.013
307,CD44,0.229,0.337
308,HADHA,-0.07,0.602
309,REXO2,0.085,0.573
310,DUT,0.043,0.827
311,RPL28,0.777,0.091
312,TMOD3,0.406,0.093
313,IDH3A,-0.947,0.141
314,FAH,0.406,0.123
315,RPS27L;RPS27,-0.087,0.46
316,ANP32A,0.099,0.659
317,AKR7A2,-0.586,0.004
318,HN1L,-0.121,0.327
319,H3BN98,0.066,0.834
320,RPS17,0.067,0.582
321,HEXA,-0.565,0.007
322,MACF1,0.074,0.931
323,FUS,-0.014,0.929
324,NDUFB10,-0.167,0.224
325,BOLA2;BOLA2B,0.382,0.046
326,DHX30,-0.075,0.526
327,PDIA3,-0.162,0.203
328,EBNA1BP2,0.311,0.047
329,SRRT,-0.065,0.723
330,NAGK,-0.472,0.407
