,Gene Name,log2(Fold change),P-value
186,IMMT,0.417,0.086
187,GFM1,-1.774,0.041
188,SNX8,-0.506,0.011
189,SRI,-0.237,0.357
190,EEF1E1;EEF1E1-BLOC1S5,0.315,0.036
191,RPL37A,0.115,0.265
192,PDCD10,-0.246,0.409
193,RAB7A,-0.593,0.005
194,ATP1B3,-0.185,0.195
195,SNAP29,-0.682,0.009
196,APEH,-0.671,0.003
197,POLR2H,-0.922,0.002
198,L2HGDH,-0.187,0.308
199,RPL22L1,-0.124,0.721
200,RFC4,-0.212,0.129
201,RPL32,0.174,0.147
202,CAMK2D;CAMK2A,0.405,0.145
203,HNRNPAB,-0.117,0.342
204,NCAPG,0.033,0.715
205,EIF4E,0.169,0.185
206,DCK,-0.021,0.91
207,CWC27,-0.045,0.679
208,SEPT11,-0.271,0.031
209,SEC31A,-0.101,0.514
210,THOC3,-0.536,0.007
211,PAIP1,-0.721,0.009
212,NUDCD2,-0.007,0.959
213,PROSC,-0.148,0.396
214,PFDN1,0.297,0.052
215,CHRAC1,-0.156,0.13
216,STMN2,-0.438,0.012
217,TCEB1,-0.078,0.402
218,RPL30,0.333,0.02
219,DNPEP,-0.009,0.983
220,TBCA,-0.264,0.048
221,SKP1,-0.295,0.09
222,RBM22,0.108,0.566
223,VAPB,-0.404,0.041
224,ITGA2,-1.15,0.036
225,PRPSAP2,0.398,0.703
226,RPL14,0.138,0.383
227,MRPS25,-0.085,0.63
228,UBA5,0.685,0.207
229,NAA50,-0.172,0.738
230,ACIN1,0.262,0.395
231,EIF4G1,-0.355,0.063
232,MAP4,-0.191,0.385
233,CYFIP2,-0.239,0.545
234,CSTF2;CSTF2T,0.116,0.225
235,EIF4B,0.067,0.517
236,CALD1,0.596,0.287
237,DCTN1,0.014,0.936
238,NIF3L1,-0.163,0.324
239,NACA,0.01,0.91
240,RBBP7,-0.183,0.223
241,OGDH,0.023,0.814
242,HNRNPH1,-0.06,0.535
243,SMC4,0.052,0.734
244,SUCLG2,-1.058,0.062
245,MRPS17;hCG_1984214,-0.071,0.45
246,FUBP1,-0.03,0.757
247,DLAT,0.226,0.256
248,GSTK1,-0.702,0.013
249,TSN,-0.306,0.024
250,COPS8,-0.073,0.494
251,GSDMD,-0.223,0.555
252,MTCH2,-0.267,0.297
253,UBXN1,-0.038,0.809
254,EEF1D,0.483,0.012
255,PRMT1,-0.11,0.38
256,TTC9C,-0.343,0.032
257,BTF3L4,-0.491,0.008
258,NPEPPS,-0.079,0.39
259,CLNS1A,-0.305,0.106
260,ANP32E,-0.908,0.381
261,RAE1,-0.133,0.212
262,PFDN4,0.511,0.025
263,FAU,0.115,0.228
264,LSM8,0.007,0.965
265,ALCAM,1.048,0.001
266,PTMS,-0.582,0.129
267,OTUB1,-0.284,0.03
268,ATP6V0D1,-0.303,0.027
269,LIG1,-0.587,0.004
270,SLC3A2,-0.205,0.065
271,GPHN,-0.087,0.661
272,GOPC,0.092,0.598
273,NAP1L1,0.394,0.014
274,TUBA1C,0.108,0.323
275,GRSF1,0.238,0.047
276,CPSF7,-0.595,0.024
277,ATL3,0.004,0.963
278,GNS,-0.665,0.005
279,GLOD4,-0.007,0.979
280,POLDIP3;PDIP46,0.106,0.748
281,RANBP1,0.078,0.525
282,CAD,0.062,0.525
283,LIMA1,0.423,0.008
284,CHMP1A,-0.539,0.003
285,COPZ1,-0.051,0.584
286,SLC25A3,0.738,0.072
287,PPP1CC,-0.05,0.795
288,PCBP2,-0.022,0.809
289,AK2,-0.08,0.393
290,MYL6,0.006,0.968
291,NRBP1,0.337,0.111
292,HNRNPA1,0.271,0.055
293,MRE11A,0.28,0.142
294,IGF2BP2,-2.14,0.0
295,NDRG3,-0.184,0.348
296,DDX56,-0.553,0.44
297,CAPRIN1,-0.221,0.136
298,DPP3,-0.029,0.758
299,API5,-0.215,0.465
300,NRD1,0.055,0.6
301,RPL18,0.342,0.029
302,ATP5J2-PTCD1;ATP5J2,-0.092,0.593
303,SNW1,-0.259,0.082
304,APEX1,-0.221,0.055
305,PSMA6,0.054,0.612
306,PFN2,-0.274,0.032
307,ACP1,0.005,0.963
308,MRPS22,0.131,0.608
309,CELF1,-0.275,0.095
310,HNRNPD,-0.131,0.22
311,DNPH1,-0.368,0.029
312,RRM2B,-1.027,0.073
313,TPD52,-0.328,0.015
314,CD44,0.267,0.229
315,HADHA,-0.162,0.173
316,REXO2,-0.113,0.453
317,RPL28,0.088,0.583
318,TMOD3,0.212,0.307
319,PSMA4,-0.059,0.512
320,FAH,0.125,0.556
321,ANP32A,-0.118,0.607
322,DUT,0.19,0.411
323,ARPP19;ENSA,0.498,0.006
324,RAB11A;RAB11B,-0.231,0.05
325,RNPS1,-0.39,0.027
326,IST1,-0.435,0.043
327,HN1L,-0.162,0.123
328,COX4I1,0.699,0.017
329,RPS17,0.273,0.04
330,HEXA,-0.976,0.001
331,FUS,-0.154,0.31
332,NDUFB10,-0.241,0.07
333,BOLA2;BOLA2B,0.163,0.166
334,PDIA3,-0.348,0.017
335,PPP1R7,0.077,0.762
336,TRIM4,0.345,0.081
337,C7orf50,-2.855,0.0
338,EBNA1BP2,0.043,0.664
339,NSF,-0.049,0.737
340,EIF5A;EIF5AL1;EIF5A2,-0.144,0.158
341,RPS15A,0.305,0.023
342,SRSF2,-0.121,0.258
343,OLA1,0.199,0.077
344,PTRH2,0.063,0.529
345,SUMF2,-0.579,0.014
346,RPL36AL;RPL36A;RPL36A-HNRNPH2,0.266,0.03
347,IARS,-0.013,0.885
348,DCXR,-0.014,0.88
349,CBX1,-0.288,0.057
350,ZNF207,2.331,0.255
351,NUP85,0.294,0.335
352,HN1,0.263,0.033
353,DDX5,-0.187,0.149
354,RPL19,0.04,0.655
355,SRSF1,0.171,0.171
356,SNRPB;SNRPN,-0.08,0.464
357,MRPS23,-0.061,0.563
358,PNPO,-0.409,0.014
359,MYL12B;MYL12A;MYL9,0.311,0.05
360,BUB3,-0.219,0.102
361,LONP1,-0.482,0.031
362,PRKCSH,-0.036,0.745
363,SEH1L,-0.115,0.52
364,PIN1,-0.215,0.29
365,U2AF2,0.123,0.461
366,TBCB,-0.257,0.059
367,EIF3K,0.218,0.142
368,FKBP10,-0.082,0.516
369,COPE,0.08,0.381
370,ETHE1,-0.277,0.179
371,FBL,0.358,0.022
372,SLC1A5,-0.221,0.262
373,AP2S1,-0.039,0.728
374,HNRNPM,-0.464,0.012
375,RPS5,0.246,0.05
376,NAPA,-0.428,0.016
377,RPL18A,0.287,0.034
378,DDX39A,0.419,0.032
379,ACOT7,0.019,0.852
380,AIP,-0.031,0.888
381,AP3B1,0.49,0.213
382,PSMD11,-0.092,0.411
383,PSMD12,-0.433,0.47
384,PGRMC1,-0.087,0.498
385,SUPT5H,0.38,0.01
386,DFFA,0.256,0.386
387,CLIC1,-0.068,0.446
388,EIF3F,0.354,0.013
389,IPO5,0.383,0.009
390,SAP18,2.386,0.014
391,DNM1L,0.253,0.124
392,PSMD14,-0.007,0.94
393,KPNA3;KPNA4,-0.487,0.246
394,PODXL,-0.548,0.079
395,PPP6C,0.104,0.314
396,PDXK,-0.124,0.579
397,PDCD5,-0.129,0.491
398,PRMT5,0.588,0.012
399,SLC9A3R1,-0.249,0.045
400,TCERG1,-0.825,0.028
401,PSMA7,0.026,0.784
402,IFIT3,-1.842,0.004
403,MGST3,-0.461,0.028
404,HAT1,-0.33,0.029
405,PPP1R12A,-0.083,0.656
406,XPO1,-0.153,0.181
407,PFAS,-0.032,0.759
408,ARPC1B,-0.65,0.057
409,ARPC3,-0.176,0.242
410,PFDN6,0.414,0.016
411,PPM1G,-0.029,0.835
412,EIF3D,0.334,0.029
413,P4HA2,3.219,0.133
414,MAGEB2,-0.149,0.175
415,ARPC5,-0.115,0.451
416,DHX15,0.216,0.063
417,PRPF4,-1.807,0.0
418,PSMD3,0.175,0.107
419,SART1,-0.046,0.615
420,HNRNPR,0.059,0.615
421,TXNL1,-0.082,0.369
422,TPD52L2,-0.454,0.008
423,PPIH,0.072,0.469
424,AKR7A2,-1.002,0.001
425,EPB41L2,0.529,0.008
426,LAMTOR5,-0.165,0.275
427,PLRG1,0.023,0.926
428,NDUFA2,-0.237,0.137
429,ASNA1,-0.522,0.004
430,ACTN4,0.004,0.968
431,SGTA,-0.381,0.101
432,NARS,0.116,0.34
433,NUDT21,-0.398,0.012
434,RRP9,-0.341,0.062
435,CALU,-0.623,0.073
436,AHCYL1;AHCYL2,-0.61,0.004
437,RAD21,-0.234,0.33
438,TIMM8A,-0.106,0.649
439,SPAG9,-0.138,0.608
440,SNX3,0.056,0.877
441,SYNCRIP,0.124,0.198
442,PLOD3,0.196,0.122
443,PLIN3,-0.132,0.208
444,KPNA6,-0.298,0.172
445,UGDH,-0.366,0.061
446,SNX2,-0.357,0.022
447,USO1,-0.45,0.119
448,PFKFB2,-0.197,0.204
449,PQBP1,0.266,0.035
450,DKC1,1.681,0.068
451,EDF1,-0.627,0.002
452,DNAJA2,-0.113,0.357
453,CUTA,-0.218,0.327
454,WDR1,0.077,0.563
455,CPNE3,-0.055,0.575
456,PDCD6,-0.269,0.031
457,ATP6V1G1;ATP6V1G2;ATP6V1G2-DDX39B,-0.661,0.003
458,H2AFY,-0.093,0.359
459,FLNB,0.85,0.002
460,SEC22B,-0.366,0.018
461,VPS26A,-1.12,0.002
462,PMPCB,0.051,0.706
463,PSIP1,-0.267,0.219
464,SRSF10;FUSIP1,0.529,0.005
465,BANF1,-0.597,0.002
466,CSDE1,-0.523,0.013
467,PRKRA,-0.451,0.013
468,NPM3,0.294,0.179
469,ERAL1,0.609,0.097
470,SNRNP200,-0.013,0.897
471,EIF3J,-0.436,0.131
472,CBR3,-0.5,0.024
473,IDH1,-0.48,0.07
474,BCAS2,-0.084,0.372
475,DCTN3,0.229,0.055
476,DNAJC8,0.452,0.147
477,ATP5H,-0.265,0.045
478,ATP5L,-0.057,0.707
479,GLRX3,-0.185,0.168
480,RSL1D1,-0.028,0.812
481,CIAO1,0.453,0.111
482,SRP72,-0.95,0.023
483,MTA2,-0.245,0.084
484,TOMM70A,0.144,0.314
485,GLS,0.378,0.17
486,NDUFB4,-0.064,0.77
487,ZRANB2,-0.329,0.028
488,PAPSS2,0.029,0.798
489,SMC2,-0.224,0.305
490,LYPLA2,-0.396,0.069
491,IPO7,0.223,0.278
492,AHSA1,-0.103,0.47
493,BAG2,0.393,0.012
494,BAG3,-0.905,0.255
495,BPNT1,-0.399,0.031
496,TXNDC12,-0.063,0.758
497,ACTL6A,-0.628,0.07
498,CYB5A,-0.195,0.387
499,LDHA,-0.012,0.901
500,GLUD1;GLUD2,-0.337,0.025
501,DHFR,1.246,0.001
502,CYB5R3,-0.454,0.033
503,GSR,0.207,0.079
504,SOD1,-0.13,0.421
505,PNP,0.186,0.375
506,HPRT1,-0.097,0.553
507,GOT2,-0.007,0.932
508,PGK1,-0.132,0.186
509,LMNA,-0.351,0.02
