,Gene Name,log2(Fold change),P-value
183,HMGB3,0.031,0.867
184,EIF4G1,-0.348,0.041
185,EIF4B,-0.305,0.228
186,CALD1,-0.223,0.644
187,NACA,-0.085,0.552
188,HK2,0.832,0.035
189,RBBP7,-0.257,0.165
190,OGDH,0.042,0.758
191,CRMP1,-0.033,0.801
192,MYO1B,-0.452,0.025
193,MRPS17;hCG_1984214,0.123,0.467
194,FUBP1,0.141,0.406
195,NUP155,-0.035,0.842
196,CSTF2,-0.114,0.42
197,CLNS1A,0.02,0.902
198,EEF1D,0.343,0.063
199,BCLAF1,-0.372,0.043
200,PRMT1,-0.095,0.53
201,NDUFS8,0.335,0.056
202,BTF3L4,-0.256,0.174
203,NPEPPS,-0.258,0.113
204,FDFT1,-0.212,0.418
205,RAE1,-0.256,0.103
206,FAU,0.032,0.808
207,LSM8,-0.446,0.057
208,TMEM258,-0.177,0.307
209,ALCAM,0.576,0.022
210,OTUB1,-0.217,0.151
211,ATP6V0D1,-0.852,0.004
212,SLC3A2,-0.086,0.555
213,SNRPG;SNRPGP15,-0.786,0.006
214,CPSF7,-0.758,0.032
215,RAB35,0.061,0.819
216,NAP1L1,0.267,0.094
217,TUBA1C,0.148,0.392
218,GRSF1,-0.155,0.293
219,MYO1C,0.026,0.939
220,GNS,-0.661,0.005
221,POLDIP3,-0.624,0.028
222,RANBP1,0.3,0.079
223,CAD,0.211,0.156
224,LIMA1,0.431,0.022
225,SLC25A3,-0.152,0.336
226,PPP1CC,0.005,0.978
227,AK2,0.029,0.845
228,MYL6,0.044,0.819
229,HNRNPA1;HNRNPA1L2,-0.002,0.991
230,MRE11A,-0.448,0.408
231,IGF2BP2,-1.918,0.0
232,EIF2A,0.055,0.839
233,NDUFV1,0.489,0.021
234,PARP2,-0.497,0.088
235,API5,-0.158,0.367
236,GOLT1B,-0.109,0.436
237,RPL18,1.022,0.007
238,PSMA6,-0.016,0.914
239,ATP5J2-PTCD1;ATP5J2,-0.056,0.82
240,SNW1,-0.351,0.059
241,MRPS22,0.178,0.487
242,MRPS27,0.396,0.052
243,CELF1,-0.416,0.055
244,SEC24C,-0.369,0.049
245,HNRNPH1,-0.118,0.475
246,ZYX,0.08,0.767
247,TLR9,-1.627,0.001
248,HNRNPD,-0.015,0.913
249,TPD52,-0.089,0.532
250,CD44,0.265,0.239
251,HADHA,-0.044,0.77
252,DUT,-0.403,0.215
253,RPL28,0.423,0.057
254,TMOD3,0.421,0.086
255,PSMA4,-0.171,0.392
256,ANP32A,0.383,0.382
257,RNPS1,-0.549,0.016
258,,0.097,0.691
259,RPS17,0.518,0.012
260,HEXA,-0.916,0.002
261,MACF1,0.26,0.754
262,FUS,-0.01,0.956
263,NDUFB10,0.034,0.884
264,PPP4C,0.424,0.22
265,DHX30,-0.077,0.598
266,PDIA3,-0.275,0.118
267,C7orf50,-2.708,0.0
268,EBNA1BP2,0.014,0.918
269,SRPRB,0.327,0.05
270,NSF,-0.307,0.097
271,EIF5A;EIF5AL1;EIF5A2,0.06,0.659
272,SRSF2,-0.124,0.376
273,OLA1,0.248,0.122
274,PTRH2,-0.27,0.098
275,SUMF2,-0.366,0.093
276,RPL36AL;RPL36A;RPL36A-HNRNPH2,0.502,0.057
277,IARS,0.13,0.39
278,DCXR,0.334,0.145
279,CBX1,-0.245,0.142
280,MRPS7,0.01,0.943
281,NUP85,-0.835,0.049
282,HN1,-0.177,0.493
283,RPL38,0.25,0.279
284,DDX5,-0.496,0.02
285,RPL19,0.441,0.045
286,SRSF1,-0.108,0.454
287,SNRPB;SNRPN,-0.367,0.033
288,MRPS23,0.059,0.677
289,PNPO,0.201,0.361
290,MYL12B;MYL12A,0.485,0.022
291,YES1;SRC,-0.699,0.003
292,BUB3,-0.152,0.307
293,UNC13D,-0.053,0.764
294,KATNAL2,0.01,0.939
295,LONP1,-0.279,0.286
296,FARSA,0.44,0.127
297,GRN,-2.688,0.0
298,RPS15,0.072,0.717
299,PRKCSH,0.044,0.744
300,SEH1L,-0.979,0.018
301,PARK7,0.132,0.637
302,NCLN,-0.938,0.063
303,EIF3K,0.25,0.374
304,ETHE1,-0.117,0.55
305,AP2S1,-0.726,0.003
306,HNRNPM,0.277,0.308
307,EXOSC5,0.296,0.135
308,RPS5,0.721,0.018
309,NAPA,-0.205,0.287
310,RPL18A,0.588,0.015
311,TECR,-0.584,0.009
312,AGPS,-0.367,0.058
313,DDX39A,0.623,0.034
314,PSMD11,-0.218,0.244
315,PGRMC1,-0.248,0.154
316,SUPT5H,0.199,0.253
317,CLIC1,-0.136,0.457
318,EIF3F,-0.334,0.066
319,IPO5,0.181,0.298
320,SAP18,1.808,0.0
321,DNM1L,-0.046,0.785
322,PSMD14,0.008,0.959
323,KPNA3,-0.348,0.047
324,NOP56,-0.137,0.434
325,PODXL,-0.562,0.128
326,PPP6C,0.063,0.72
327,PDXK,0.541,0.36
328,PDCD5,0.508,0.04
329,SLC9A3R1,0.062,0.645
330,TCERG1,-1.238,0.012
331,PSMA7,-0.357,0.086
332,SCAMP3,-0.257,0.208
333,GIPC1,-0.708,0.007
334,HAT1,-0.493,0.058
335,UQCRQ,-0.168,0.518
336,XPO1,0.111,0.502
337,U2SURP,-0.209,0.635
338,NPC1,0.229,0.178
339,ARPC3,-0.082,0.622
340,PGRMC2,-0.266,0.147
341,SURF4,-0.173,0.247
342,OGT,-0.58,0.016
343,PPM1G,-0.018,0.921
344,EIF3D,0.351,0.188
345,P4HA2,2.021,0.249
346,MAGEB2,-0.222,0.242
347,ARPC5,-0.466,0.026
348,DHX15,-0.166,0.282
349,RNMT,-0.497,0.078
350,PRPF4,-1.686,0.0
351,PSMD3,0.037,0.783
352,ZW10,-0.213,0.413
353,SART1,-0.323,0.101
354,HNRNPR,-0.067,0.65
355,PPIH,0.214,0.211
356,EPB41L2,0.45,0.035
357,TIMM44,-0.01,0.957
358,PLRG1,-0.08,0.561
359,ASNA1,0.092,0.602
360,ACTN4,0.109,0.428
361,GSTZ1,-0.487,0.09
362,NUDT21,-0.348,0.048
363,RRP9,-0.015,0.929
364,CALU,-0.625,0.059
365,AHCYL1;AHCYL2,-0.133,0.427
366,RAD21,-0.665,0.005
367,TIMM8A,0.111,0.636
368,SMARCA5;SMARCA1,-0.288,0.172
369,SYNCRIP,0.027,0.868
370,PLOD3,-0.615,0.006
371,PLIN3,-0.129,0.369
372,UGDH,0.22,0.244
373,SNX2,-0.215,0.189
374,PQBP1,0.454,0.017
375,DKC1,-0.378,0.062
376,CUTA,0.35,0.178
377,WDR1,0.24,0.246
378,CPNE3,-0.024,0.86
379,DNAJC13,0.626,0.519
380,NDUFS2,0.088,0.571
381,PDCD6,-0.365,0.048
382,ATP6V1G1;ATP6V1G2;ATP6V1G2-DDX39B,-0.443,0.019
383,H2AFY,-0.018,0.895
384,FLNB,0.66,0.027
385,SEC22B,0.035,0.806
386,VPS26A,-0.962,0.005
387,PMPCB,-0.384,0.067
388,PSIP1,-0.345,0.148
389,ERLIN1,-0.26,0.101
390,SRSF10,0.177,0.309
391,BANF1,-0.394,0.03
392,SF3B1,-0.091,0.516
393,CSDE1,-0.502,0.05
394,PRKRA,-0.041,0.833
395,NPM3,0.343,0.185
396,ERAL1,0.582,0.092
397,SNRNP200,-0.434,0.026
398,EIF3J,-1.574,0.161
399,IDH1,-0.744,0.013
400,BCAS2,-0.394,0.048
401,ATP5H,-0.026,0.861
402,ATP5L,0.241,0.162
403,RSL1D1,-0.007,0.96
404,MTA2,-0.522,0.018
405,TOMM70A,0.266,0.138
406,GLS,-0.363,0.202
407,ZFPL1,-0.404,0.032
408,VAPB,-0.311,0.121
409,IPO7,0.09,0.617
410,AHSA1,0.183,0.344
411,NSA2,-0.167,0.546
412,AP2A1,-0.059,0.769
413,BAG2,-0.145,0.555
414,AIFM1,-1.353,0.0
415,FADS2,-1.158,0.018
416,TXNDC12,-0.137,0.623
417,ACTL6A,-1.33,0.003
418,CYB5A,-0.374,0.225
419,LDHA,0.008,0.957
420,GLUD1;GLUD2,-0.246,0.15
421,CYB5R3,-0.227,0.245
422,GSR,0.149,0.366
423,MT-CO2,-0.773,0.117
424,SOD1,-0.178,0.424
425,PNP,0.574,0.04
426,HPRT1,0.072,0.689
427,GOT2,0.071,0.614
428,PGK1,-0.061,0.666
429,NRAS,-0.746,0.045
430,LMNA,-0.368,0.052
431,TFRC,0.532,0.036
432,CAT,-0.713,0.02
433,GBA,-0.944,0.003
434,ALDOA,-0.234,0.13
435,ANXA1,0.252,0.215
436,APOB,0.049,0.841
437,SOD2,-1.163,0.0
438,OAT,0.24,0.148
439,TK1,-1.361,0.0
440,TUBB4A,0.397,0.107
441,GAPDH,-0.1,0.46
442,HSPB1,-0.268,0.331
443,TYMS,-0.699,0.005
444,RPN1,-0.173,0.233
445,RPN2,-0.023,0.871
446,GNAI2,-0.48,0.017
447,HIST1H2AC;HIST3H2A;HIST1H2AB,-0.273,0.298
448,ATP1A1,0.018,0.891
449,ATP1B1,0.286,0.23
450,ALDH2,0.333,0.057
451,SLC25A5,-0.182,0.206
452,EIF2S1,-0.118,0.474
453,RPLP1,0.005,0.968
454,RPLP2,-0.051,0.738
455,RPLP0;RPLP0P6,0.094,0.513
456,SSB,-0.1,0.607
457,ITGB1,0.175,0.258
458,KRT18,-0.089,0.641
459,ATP5B,-0.095,0.536
460,ENO1,0.054,0.693
461,GPI,0.16,0.27
462,NPM1,0.186,0.314
463,LDHB,-0.156,0.305
464,P4HB,-0.217,0.173
465,ANXA2;ANXA2P2,-0.24,0.23
466,CAPN1,-0.337,0.126
467,TUBB,-0.102,0.448
468,PSAP,-0.674,0.171
469,PFN1,-0.078,0.58
470,EPRS,0.344,0.053
471,CTSB,-1.484,0.001
472,HSP90AA1,0.257,0.218
473,UQCRH;UQCRHL,0.135,0.342
474,FH,-0.021,0.896
475,ANXA6,-0.113,0.514
476,RHOC;RHOA,-0.063,0.638
477,HSP90AB1,0.019,0.895
478,PDHA1,0.078,0.556
479,CYC1,0.024,0.855
480,MFI2,-0.1,0.548
481,MYL3;MYL1,-0.122,0.52
482,SNRNP70,-0.642,0.016
483,VIM,0.3,0.074
484,GNAI3,-0.4,0.045
485,ANXA5,-0.113,0.42
486,GSTP1,-0.031,0.886
487,SNRPC,0.013,0.948
488,LGALS1,-0.149,0.507
489,HMGB1,-0.124,0.484
490,CLTA,-0.152,0.284
491,DLD,-0.182,0.205
492,SNRPA1,-0.011,0.947
493,COX6C,0.945,0.002
494,PARP1,-0.19,0.211
495,ALDOC,0.266,0.37
496,H2AFV;H2AFZ,-0.186,0.341
497,U2AF1,-0.624,0.005
498,CALM2;CALM3;CALM1,-0.315,0.075
499,TUBA3E,-0.078,0.671
500,GAA,-0.603,0.027
501,HIST1H1E;HIST1H1D,-0.702,0.068
502,DLAT,0.075,0.644
503,TXN,0.113,0.518
504,COX5B,-0.156,0.507
505,CTSA,-0.172,0.773
506,HSPD1,0.303,0.105
507,HSPA5,0.167,0.239
508,HSPA8,-0.03,0.839
509,SLC2A1,0.257,0.357
510,UMPS,-0.601,0.192
511,PDHB,-0.035,0.829
512,RALA;RALB,-0.114,0.41
513,LAMP1,-0.382,0.076
514,TOP2A,-0.296,0.304
515,G6PD,-0.773,0.021
516,IGF2R,-0.165,0.653
517,PABPC1,-0.23,0.17
518,PCNA,-0.25,0.174
519,HARS,0.333,0.129
520,SLC25A4,-0.643,0.017
521,SLC25A6,-0.267,0.087
522,IMPDH2,0.286,0.102
523,TPR,-0.359,0.042
524,CKB,1.134,0.061
525,ANXA3,0.486,0.119
526,CKMT1A;CKMT1B,-0.603,0.065
527,ACTN1,0.223,0.19
528,XRCC6,-0.046,0.734
529,XRCC5,0.054,0.702
530,COX4I1,0.419,0.099
531,RNH1,0.289,0.401
532,EEF2,0.141,0.329
533,PDIA4,-0.152,0.451
