,Gene Name,log2(Fold change),P-value
189,SEPT10,-0.045,0.829
190,DDX27,0.021,0.823
191,RANBP3,-0.227,0.15
192,ACADM,-0.404,0.026
193,SUMO1,-0.396,0.019
194,PTMA,-0.095,0.293
195,HIBCH,-1.428,0.088
196,IMMT,0.019,0.832
197,DKC1,0.013,0.882
198,BZW1,1.037,0.001
199,PFN2,-0.143,0.193
200,SRI,-0.248,0.312
201,EEF1E1;EEF1E1-BLOC1S5,0.213,0.088
202,RPL37A,0.332,0.016
203,PDCD10,0.138,0.582
204,ZC3HAV1,-1.388,0.001
205,PFN2,0.313,0.046
206,RHEB,-0.723,0.027
207,SNAP29,-0.6,0.001
208,RAB34,-0.511,0.012
209,APEH,-0.785,0.003
210,ATP5J2;ATP5J2-PTCD1,-0.345,0.074
211,POLR2H,-1.276,0.0
212,RPL24,0.286,0.039
213,C7orf50,-2.239,0.0
214,RPL22L1,0.317,0.373
215,RFC4,-0.205,0.065
216,RPL32,0.217,0.057
217,HLA-B,-1.059,0.001
218,CAMK2D,-0.778,0.018
219,HNRNPAB,-0.004,0.964
220,EIF4E,0.266,0.056
221,SEPT11,-0.319,0.028
222,SEC31A,-0.615,0.002
223,CYB5B,0.123,0.381
224,PAIP1,-0.367,0.085
225,CIRBP,-0.081,0.505
226,LEPRE1;P3H1,0.515,0.01
227,GINS4,-0.268,0.22
228,NUDCD2,-0.461,0.134
229,PROSC,0.083,0.683
230,PFDN1,0.04,0.721
231,TBCA,-0.216,0.063
232,TCEB1,-0.044,0.62
233,ZNF706,-0.315,0.034
234,RPL30,0.364,0.014
235,DNPEP,-0.146,0.725
236,PLAA,-0.051,0.821
237,SLC39A14,-0.511,0.003
238,SKP1,-0.433,0.033
239,RBM22,0.418,0.083
240,VAPB,-0.298,0.128
241,ITGA2,-1.197,0.037
242,AP1M1,0.087,0.699
243,PRPSAP2,-0.425,0.016
244,RPL14,0.339,0.066
245,SEPT7,-0.16,0.193
246,MRPS25,-0.024,0.878
247,UBA5,-0.461,0.068
248,NAA50,-0.418,0.204
249,EZR,0.151,0.259
250,EIF4G1,-0.162,0.122
251,MAP4,-0.238,0.277
252,CSTF2,0.172,0.102
253,CALD1,0.675,0.23
254,DCTN1,-0.184,0.115
255,NIF3L1,-0.458,0.019
256,NACA,0.095,0.34
257,HK2,0.629,0.095
258,RBBP7,-0.254,0.12
259,CCNB1,0.178,0.347
260,OGDH,-0.182,0.159
