,Gene Name,log2(Fold change),P-value
183,DKC1,0.098,0.525
184,BZW1,0.648,0.01
185,SRI,-0.328,0.195
186,EEF1E1;EEF1E1-BLOC1S5,0.239,0.083
187,GTF2E1,0.285,0.308
188,RPL37A,0.252,0.107
189,RAB7A,-0.454,0.014
190,ATP1B3,-0.196,0.475
191,RAB6A;RAB6B;RAB39A,-0.062,0.594
192,APEH,-0.901,0.002
193,ATP5J2;ATP5J2-PTCD1,-0.054,0.82
194,RCC1,-0.018,0.882
195,RPL22L1,-0.034,0.918
196,RFC4,-0.347,0.028
197,RPL32,0.137,0.216
198,HLA-B,-1.22,0.003
199,EXOSC9,0.106,0.502
200,CAMK2D,-0.401,0.391
201,HNRNPAB,-0.042,0.719
202,DBN1,-0.429,0.012
203,EIF4E,0.238,0.092
204,11-Sep,-0.168,0.176
205,SEC31A,-0.423,0.083
206,DCK,-0.382,0.186
207,THOC3,0.101,0.51
208,PAIP1,-0.791,0.001
209,CIRBP,-0.456,0.012
210,LEPRE1;P3H1,0.285,0.078
211,GINS4,-0.631,0.049
212,NUDCD2,0.102,0.768
213,TATDN1,0.038,0.832
214,PROSC,-0.346,0.05
215,CHRAC1,-0.307,0.034
216,STMN2,-0.532,0.005
217,TBCA,-0.254,0.053
218,TCEB1,-0.029,0.78
219,ZNF706,-0.368,0.058
220,RPL30,0.315,0.034
221,DNPEP,0.31,0.475
222,PLAA,-0.021,0.935
223,SKP1,-0.695,0.012
224,RBM22,0.032,0.861
225,RPL14,0.203,0.227
226,07-Sep,0.057,0.616
227,MRPS25,0.044,0.789
228,NAA50,0.035,0.88
229,EZR,0.196,0.186
230,HMGB3,-0.242,0.2
231,EIF4G1,-0.355,0.016
232,MAP4,-0.074,0.725
233,CSTF2,0.002,0.981
234,CALD1,0.776,0.159
235,DCTN1,-0.251,0.09
236,NIF3L1,-0.662,0.032
237,NACA,0.033,0.773
238,RBBP7,-0.298,0.191
239,OGDH,0.849,0.11
240,HNRNPH1,-0.05,0.628
241,SMC4,-0.435,0.037
242,SUCLG2,-0.459,0.011
243,MRPS17;hCG_1984214,-0.124,0.321
244,FUBP1,-0.052,0.636
245,DLAT,0.043,0.77
246,TSN,-0.299,0.032
247,COPS8,-0.116,0.39
248,NCAPH,-0.282,0.217
249,GSDMD,-0.756,0.008
250,MTCH2,-0.169,0.387
251,UBXN1,0.24,0.264
252,EEF1D,0.501,0.014
253,PRMT1,0.527,0.047
254,NDUFS8,0.012,0.93
255,MRPL17,0.184,0.502
256,TTC9C,-0.372,0.102
257,BTF3L4,-0.819,0.01
258,NPEPPS,-0.134,0.235
259,CLNS1A,-0.05,0.712
260,RAE1,-0.423,0.011
261,FAU,0.08,0.441
262,C11orf98,-0.261,0.051
263,LSM8,-0.251,0.116
264,PGAM5,0.708,0.159
265,ALCAM,0.554,0.017
266,PTMS,-0.306,0.359
267,OTUB1,-0.33,0.024
268,SLC3A2,-0.057,0.629
269,GPHN,0.731,0.003
270,NAP1L1,0.531,0.004
