,Gene Name,log2(Fold change),P-value
186,U2SURP,0.025,0.962
187,EIF4G1,0.325,0.191
188,MAP4,0.891,0.034
189,CSTF2;CSTF2T,2.287,0.06
190,EIF4B,1.585,0.044
191,DCTN1,0.312,0.28
192,NACA,0.651,0.258
193,HNRNPH1,0.231,0.331
194,SUCLG2,-0.181,0.448
195,FUBP1,0.243,0.407
196,DLAT,2.357,0.001
197,BZW2,0.378,0.435
198,TSN,-0.153,0.657
199,COPS8,0.955,0.011
200,SSR2,-1.982,0.006
201,UBXN1,1.476,0.006
202,EEF1D,-0.138,0.592
203,PRMT1,0.455,0.352
204,NPEPPS,0.691,0.03
205,ZFPL1,0.974,0.022
206,ANP32E,0.725,0.608
207,FAU,-1.282,0.005
208,NSFL1C,1.713,0.008
209,ACP1,1.356,0.371
210,PGAM5,3.439,0.013
211,OTUB1,0.384,0.142
212,ATP6V0D1,2.792,0.027
213,SLC3A2,-0.535,0.187
214,SNRPG;SNRPGP15,-1.368,0.004
215,NAP1L1,0.606,0.076
216,TUBA1C,-0.587,0.101
217,GRSF1,0.934,0.018
218,MYO1C,0.607,0.197
219,ATL3,0.775,0.019
220,GNS,-0.987,0.122
221,RANBP1,0.924,0.012
222,CAD,0.744,0.024
223,LIMA1,2.172,0.025
224,UBE2N;UBE2NL,0.487,0.204
225,AK2,1.383,0.004
226,MYL6,-0.437,0.337
227,HNRNPA1;HNRNPA1L2,0.248,0.33
228,IGF2BP2,-1.585,0.003
229,API5,0.823,0.202
230,RPL18,0.384,0.505
231,PSMA6,-0.115,0.659
232,APEX1,1.026,0.273
233,CLPTM1L,-0.018,0.965
234,CELF1,1.085,0.124
235,HNRNPD,0.262,0.306
236,DNPH1,2.467,0.003
237,METAP1,0.285,0.345
238,RMDN1,0.478,0.091
239,TPD52,1.632,0.002
240,CTSC,0.535,0.233
241,CD44,0.181,0.769
242,HADHA,0.926,0.037
243,REXO2,0.722,0.034
244,YARS2,0.67,0.068
245,PSMA4,-0.162,0.483
246,IDH3A,1.748,0.063
247,FAH,1.135,0.049
248,RPL28,1.581,0.005
249,RPS27;RPS27L,0.862,0.291
250,ANP32A,0.308,0.379
251,DUT,0.239,0.752
252,AKR7A2,1.803,0.001
253,RNPS1,0.882,0.247
254,H3BN98,0.029,0.945
255,RPS17,0.446,0.128
256,HEXA,0.33,0.563
257,FUS,-0.154,0.511
258,RBMX;RBMXL1,-0.218,0.588
259,BOLA2;BOLA2B,1.291,0.033
260,DHX30,3.427,0.185
261,PDIA3,-0.064,0.885
262,PPP1R7,2.651,0.001
263,SRRT,1.194,0.026
264,NAGK,1.082,0.139
265,ATP2A2,4.277,0.044
266,NSF,2.481,0.001
267,EIF5A;EIF5A2;EIF5AL1,0.446,0.096
268,SRSF2,-0.125,0.625
269,OLA1,0.522,0.232
270,PTRH2,0.592,0.126
271,SUMF2,-0.408,0.202
272,RPL36AL;RPL36A;RPL36A-HNRNPH2,0.938,0.099
273,IARS,0.381,0.164
274,TBCD,2.749,0.007
275,DDX5,-0.559,0.066
276,RPL19,-0.483,0.13
277,SRSF1,0.927,0.026
278,SNRPB;SNRPN,-0.315,0.243
279,MRPS23,-0.113,0.63
280,PNPO,2.63,0.0
281,MYL12B;MYL12A;MYL9,0.024,0.938
282,YES1,1.601,0.003
283,BUB3,-0.268,0.374
284,DNAJC7,-0.34,0.195
285,KATNAL2,-0.334,0.185
286,LONP1,0.611,0.103
287,PRKCSH,1.638,0.01
288,SEH1L,1.741,0.003
289,PARK7,0.085,0.79
290,PIN1,0.677,0.073
291,U2AF2,1.814,0.002
292,PDCD5,0.032,0.934
293,EIF3K,2.118,0.037
294,PSME3,1.295,0.008
295,COPE,1.824,0.002
296,ETHE1,1.244,0.008
297,FBL,0.801,0.017
298,SLC1A5,-0.62,0.07
299,EXOSC5,2.086,0.001
300,RPS5,0.054,0.844
301,NAPA,1.814,0.05
302,TECR,-0.163,0.533
303,DDX39A,0.646,0.067
304,ACOT7,1.392,0.007
305,AIP,0.113,0.699
306,PSMD11,0.002,0.994
307,PSMD12,3.945,0.0
308,PGRMC1,-0.527,0.298
309,DFFA,-0.435,0.12
310,CLIC1,-0.333,0.201
311,EIF3F,0.765,0.019
312,IPO5,1.317,0.003
313,DNM1L,0.29,0.294
314,PSMD14,1.71,0.035
315,PODXL,-0.016,0.98
316,PDXK,0.141,0.667
317,PRMT5,3.029,0.0
318,TCERG1,-0.024,0.964
319,PSMA7,0.605,0.045
320,SCAMP3,1.907,0.017
321,IFIT3,-0.495,0.279
322,HAT1,-0.236,0.394
323,UQCRQ,1.257,0.013
324,XPO1,0.359,0.186
325,PFAS,2.22,0.003
326,NPC1,0.043,0.943
327,ARPC1B,1.385,0.02
328,ARPC3,-0.718,0.237
329,PGRMC2,0.244,0.469
330,PMM2,3.5,0.013
331,PPM1G,0.742,0.147
332,EIF3D,1.983,0.001
333,MAGEB2,-0.862,0.07
334,DHX15,1.416,0.007
335,PRPF4,-2.078,0.015
336,PSMD3,1.353,0.017
337,HNRNPR,0.434,0.153
338,TPD52L2,1.425,0.225
339,PPIH,0.18,0.466
340,TRAPPC3,0.39,0.318
341,PLRG1,-3.408,0.015
342,ASNA1,0.135,0.566
343,ACTN4,0.864,0.02
